match_id,GoalScorer,OG,TeamScoredStatus,Assist,AssistType,Penalty,Season,TeamScored,TeamConceded,goal_id,is_assisted,goal_type
2015000,Amer Sabry,False,Home,Amr Marei,Pass,False,2015-2016,El Dakhlia,El Mokawloon,20150001,True,Open Play
2015000,Onosh,False,Home,Cyrille Bayala,Penalty,True,2015-2016,El Dakhlia,El Mokawloon,20150002,True,Penalty
2015001,Ahmed Ramadan,False,Away,Mohamed Farouk,Pass,False,2015-2016,Harras Hodoud,Enppi SC,20150011,True,Open Play
2015001,Mahmoud Kaoud,False,Home,Mohamed Nasef,Cross,False,2015-2016,Enppi SC,Harras Hodoud,20150012,True,Open Play
2015001,Salah Ashour,False,Home,Osama Ibrahim,Free kick,False,2015-2016,Enppi SC,Harras Hodoud,20150013,True,Open Play
2015001,Ahmed Sabry,False,Away,Mohamed Farouk,Header,False,2015-2016,Harras Hodoud,Enppi SC,20150014,True,Open Play
2015002,Platini,False,Home,Patrick Ngoma,Cross,False,2015-2016,Ittihad Alex,Aswan SC,20150021,True,Open Play
2015003,Marwan Mohsen,False,Home,Marwan Mohsen,Penalty,True,2015-2016,Ismaily,Entag El Harby,20150031,True,Penalty
2015003,Taha Adel,False,Home,,Penalty,False,2015-2016,Ismaily,Entag El Harby,20150032,False,Open Play
2015004,Kahraba,False,Home,Ayman Hefny,Pass,False,2015-2016,Zamalek,Wadi Degla,20150041,True,Open Play
2015004,Mohamed Salem,False,Home,Ahmed Dowidar,Cross,False,2015-2016,Zamalek,Wadi Degla,20150042,True,Open Play
2015005,Hany El Egeizy,False,Away,,Cross,False,2015-2016,Smouha,El Mahalla,20150051,False,Open Play
2015006,Abdoulaye Cissé,False,Away,Salah Rico,Free kick,False,2015-2016,El Shorta,El Makasa,20150061,True,Open Play
2015006,Ahmed Samy,False,Home,Amr Barakat,Free kick,False,2015-2016,El Makasa,El Shorta,20150062,True,Open Play
2015007,Ahmed Gaafar,False,Home,Mohamed Tarek,Cross,False,2015-2016,Petrojet,El Masry,20150071,True,Open Play
2015007,Ahmed Raouf,False,Away,Mohamed Mosaad,Pass,False,2015-2016,El Masry,Petrojet,20150072,True,Open Play
2015007,Ahmed Gomaa,False,Away,Osama Azab,Cross,False,2015-2016,El Masry,Petrojet,20150073,True,Open Play
2015007,Elsayed Abdelaal,False,Away,Mohamed Mosaad,Penalty,True,2015-2016,El Masry,Petrojet,20150074,True,Penalty
2015008,Abdallah El Said,False,Away,,Penalty,False,2015-2016,Ahly SC,Talaea El Gaish,20150081,False,Open Play
2015009,Islam Abdelnaim,False,Away,,Penalty,False,2015-2016,El Dakhlia,Harras Hodoud,20150091,False,Open Play
2015010,Youssef Obama,False,Away,Platini,Pass,False,2015-2016,Ittihad Alex,Entag El Harby,20150101,True,Open Play
2015012,Mohamed Ragab,False,Away,Ahmed Gaafar,Cross,False,2015-2016,Petrojet,Smouha,20150121,True,Open Play
2015012,Kareem Tarek,False,Away,,Cross,False,2015-2016,Petrojet,Smouha,20150122,False,Open Play
2015012,Ouka,True,Away,Shaibu Yakubu,Header,False,2015-2016,Petrojet,Smouha,20150123,True,Own Goal
2015014,Nana Poku,False,Away,Hesham Mohamed,Pass,False,2015-2016,El Makasa,El Masry,20150141,True,Open Play
2015014,Ahmed Raouf,False,Home,Said Mourad,Cross,False,2015-2016,El Masry,El Makasa,20150142,True,Open Play
2015015,Abdallah El Said,False,Home,,Cross,True,2015-2016,Ahly SC,El Mahalla,20150151,False,Penalty
2015015,Hossam Ghaly,False,Home,,Free kick,False,2015-2016,Ahly SC,El Mahalla,20150152,False,Open Play
2015017,Stanley Ohawuchi,False,Home,,Cross,False,2015-2016,Wadi Degla,Talaea El Gaish,20150171,False,Open Play
2015017,Dodo Elgabas,False,Home,,Pass,True,2015-2016,Wadi Degla,Talaea El Gaish,20150172,False,Penalty
2015017,Ahmed Eid,False,Away,,Header,False,2015-2016,Talaea El Gaish,Wadi Degla,20150173,False,Open Play
2015017,Stanley Ohawuchi,False,Home,Islam Saleh,Pass,False,2015-2016,Wadi Degla,Talaea El Gaish,20150174,True,Open Play
2015017,Ahmed Eid,False,Away,Mohamed Rizk,Penalty,True,2015-2016,Talaea El Gaish,Wadi Degla,20150175,True,Penalty
2015017,Ahmed El Esh,True,Away,Alaa Ali,Pass,False,2015-2016,Talaea El Gaish,Wadi Degla,20150176,True,Own Goal
2015018,Stanley Ohawuchi,False,Away,Karim Nedved,Pass,False,2015-2016,Wadi Degla,El Mahalla,20150181,True,Open Play
2015018,Stanley Ohawuchi,False,Away,,Header,False,2015-2016,Wadi Degla,El Mahalla,20150182,False,Open Play
2015019,Salah Ashour,False,Home,Mohamed Nasef,Free kick,False,2015-2016,Enppi SC,El Masry,20150191,True,Open Play
2015019,Mahmoud Kaoud,False,Home,Joël Lamah,Pass,False,2015-2016,Enppi SC,El Masry,20150192,True,Open Play
2015019,Ahmed Gomaa,False,Away,Said Mourad,Cross,False,2015-2016,El Masry,Enppi SC,20150193,True,Open Play
2015020,Nana Poku,False,Home,,Pass,False,2015-2016,El Makasa,Smouha,20150201,False,Open Play
