match_id,Referee,Stadium
2018000,Tarek Magdi,Alexandria Stadium
2018001,Amin Omar,Egyptian Army Stadium
2018002,Mohamed Abou-Khater,El Shorta Stadium
2018003,Abdelaziz El Sayed,El Salam Stadium
2018004,Mohamed El Sabahi,Petrosport Stadium
2018005,Mohamed Maarouf,Borg El Arab Stadium
2018006,Gehad Grisha,El Ahly Stadium
2018007,Ahmed El Ghandour,Arab Contractors Stadium
2018008,Mohamed Adel,Petrosport Stadium
2018009,Ibrahim Nour Eldin,Petrosport Stadium
2018010,Mahmoud Nagy,El Max
2018011,Mohamed Abou-Khater,Ismailia Stadium
2018012,Mahmoud Bassiouni,Cairo Military Academy Stadium
2018013,Mahmoud El Banna,Borg El Arab Stadium
2018014,Ahmed El Ghandour,30 June Stadium
2018015,Amin Omar,Arab Contractors Stadium
2018016,Mohamed Salama,Borg El Arab Stadium
2018017,Mohamed Maarouf,Gehaz El Reyada Stadium
2018018,Said Hamza,El Shorta Stadium
2018019,Wael Farhan,Khaled Bichara Stadium
2018020,Amin Omar,Petrosport Stadium
2018021,Tarek Magdi,Borg El Arab Stadium
2018022,Gehad Grisha,Gehaz El Reyada Stadium
2018023,Ibrahim Nour Eldin,Petrosport Stadium
2018024,Mohamed Adel,Egyptian Army Stadium
2018025,Mahmoud Nagy,Alexandria Stadium
2018026,Mohamed El Hanafy,El Ahly Stadium
2018027,Tarek Samy,Cairo Military Academy Stadium
2018028,Abdelaziz El Sayed,Arab Contractors Stadium
2018029,Mahmoud El Banna,Ismailia Stadium
2018030,Tarek Magdi,El Max
2018031,Mohamed Maarouf,Borg El Arab Stadium
2018032,Ibrahim Nour Eldin,Borg El Arab Stadium
2018033,Mohamed El Hanafy,30 June Stadium
2018034,Mahmoud Wafa,El Salam Stadium
2018035,Gehad Grisha,Petrosport Stadium
2018036,Mohamed El Sabahi,Suez Stadium
2018037,Ahmed El Ghandour,Petrosport Stadium
2018038,Mahmoud Nagy,Khaled Bichara Stadium
2018039,Mohamed Adel,Gehaz El Reyada Stadium
2018040,Mohamed Maarouf,Petrosport Stadium
2018041,Mahmoud El Banna,Borg El Arab Stadium
2018042,Ibrahim Nour Eldin,Cairo International Stadium
2018043,Amin Omar,Borg El Arab Stadium
2018044,Mohamed El Hanafy,Alexandria Stadium
2018045,Mohamed Adel,Borg El Arab Stadium
2018046,Mahmoud Bassiouni,El Salam Stadium
2018047,Gehad Grisha,El Max
2018048,Amin Omar,Arab Contractors Stadium
2018049,Abdelaziz El Sayed,30 June Stadium
2018050,Mohamed Salama,Petrosport Stadium
2018051,Mohamed El Sabahi,Ismailia Stadium
2018052,Mohamed El Hanafy,Petrosport Stadium
2018053,Amin Omar,Petrosport Stadium
2018054,Ahmed Hamdi,Suez Stadium
2018055,Amin Omar,Alexandria Stadium
2018056,Sadok Selmi,Arab Contractors Stadium
2018057,Mohamed Maarouf,Gehaz El Reyada Stadium
2018058,Mahmoud El Banna,Gehaz El Reyada Stadium
2018059,Mohamed El Sabahi,Borg El Arab Stadium
2018060,Said Hamza,Petrosport Stadium
2018061,Tarek Magdi,Petrosport Stadium
2018062,Mohamed Adel,El Ahly Stadium
2018063,Mohamed Youssef,El Shorta Stadium
2018064,Mohamed Adel,Arab Contractors Stadium
2018065,Tarek Magdi,Suez Stadium
2018066,Mohamed Maarouf,Ismailia Stadium
2018067,Tarek Samy,El Max
2018068,Amin Omar,Petrosport Stadium
2018069,Mahmoud Nagy,Petrosport Stadium
