match_id,Referee,Stadium
2016000,Abdelaziz El Sayed,Aswan Stadium
2016001,Ahmed El Adawi,Aswan Stadium
2016002,Ahmed El Ghandour,Banha Stadium
2016003,Tarek Magdi,Suez Stadium
2016004,Mohamed Adel,Borg El Arab Stadium
2016005,Amin Omar,Fayoum Stadium
2016006,Mohamed El Sabahi,Borg El Arab Stadium
2016007,Gehad Grisha,Petrosport Stadium
2016008,Mohamed El Hanafy,El Salam Stadium
2016009,Amr Ayed,Tanta Stadium
2016010,Said Hamza,Ismailia Stadium
2016011,Mahmoud El Banna,Petrosport Stadium
2016012,Mahmoud Bassiouni,El Shorta Stadium
2016013,Mohamed Salama,Petrosport Stadium
2016014,Ahmed Hamdi,Alexandria Stadium
2016015,Mohamed Maarouf,Cairo International Stadium
2016016,Mohamed Farouk,Alexandria Stadium
2016017,Amin Omar,Petrosport Stadium
2016018,Osama El Aref,Borg El Arab Stadium
2016019,Mahmoud El Banna,Borg El Arab Stadium
2016020,Mahmoud Bassiouni,Petrosport Stadium
2016021,Nader Kamar,Suez Stadium
2016022,Ibrahim Nour Eldin,Gehaz El Reyada Stadium
2016023,Tarek Magdi,Aswan Stadium
2016024,Mohamed El Sabahi,Fayoum Stadium
2016025,Ahmed El Ghandour,Borg El Arab Stadium
2016026,Amin Omar,El Salam Stadium
2016027,Mohamed Abou-Khater,Tanta Stadium
2016028,Mohamed Farouk,Aswan Stadium
2016029,Ibrahim Nour Eldin,Borg El Arab Stadium
2016030,Gehad Grisha,Arab Contractors Stadium
2016031,Mohamed Maarouf,Petrosport Stadium
2016032,Walid Abdelrazak,Cairo International Stadium
2016033,Sherif Hassan,Ismailia Stadium
2016034,Abdelaziz El Sayed,Petrosport Stadium
2016035,Hesham Abdelhamid,Petrosport Stadium
2016036,Ahmed Hamdi,Borg El Arab Stadium
2016037,Amin Omar,Borg El Arab Stadium
2016038,Mohamed Maarouf,Petrosport Stadium
2016039,Mahmoud El Banna,Gehaz El Reyada Stadium
2016040,Ahmed El Adawi,El Salam Stadium
2016041,Ahmed El Sayed,Aswan Stadium
2016042,Gehad Grisha,Banha Stadium
2016043,Tarek Samy,Petrosport Stadium
2016044,Gehad Grisha,El Salam Stadium
2016045,Osama Ismail,Cairo International Stadium
2016046,Said Hamza,El Shorta Stadium
2016047,Mohamed El Sabahi,Egyptian Army Stadium
2016048,Mohamed Adel,Aswan Stadium
2016049,Nader Kamar,Tanta Stadium
2016050,Osama El Aref,Arab Contractors Stadium
2016051,Ahmed El Ghandour,Ismailia Stadium
2016052,Mohamed Farouk,Borg El Arab Stadium
2016053,Ibrahim Nour Eldin,Petrosport Stadium
2016054,Gehad Grisha,Gehaz El Reyada Stadium
2016055,Amr Ramadan,El Salam Stadium
2016056,Walid Abdelaziz,Aswan Stadium
2016057,Hossam El Gallad,Banha Stadium
2016058,Mabrouk Nabil,Fayoum Stadium
2016059,Ibrahim Nour Eldin,Petrosport Stadium
2016060,Hesham Abdelhamid,Borg El Arab Stadium
2016061,Abdelaziz El Sayed,Borg El Arab Stadium
2016062,Mohamed Maarouf,Petrosport Stadium
2016063,Sabry Ibrahim,Cairo International Stadium
2016064,Awad Saafan,El Shorta Stadium
2016065,Mohamed El Hanafy,El Max
2016066,Mohamed Abou-Khater,Arab Contractors Stadium
2016067,Walid Abdelrazak,Aswan Stadium
2016068,Ahmed El Ghandour,Mahalla Stadium
2016069,Mohamed Hassan,Suez Stadium
2016070,Mohamed El Sabahi,Ismailia Stadium
2016071,Gehad Grisha,Borg El Arab Stadium
2016072,Ibrahim Nour Eldin,Banha Stadium
2016073,Mohamed Salama,Fayoum Stadium
2016074,Amr Ayed,Aswan Stadium
2016075,Mohamed El Hanafy,Borg El Arab Stadium
2016076,Mahmoud Bassiouni,Petrosport Stadium
2016077,Mahmoud Ashour,Gehaz El Reyada Stadium
2016078,Ashraf Rashad,Borg El Arab Stadium
2016079,Abdelaziz El Sayed,Petrosport Stadium
2016080,Samir Osman,El Salam Stadium
2016081,Mohamed Saber,El Max
2016082,Sameh Farouk,Suez Stadium
2016083,Mohamed Ali Shata,Aswan Stadium
2016084,Sherif Rashwan,Cairo International Stadium
2016085,Ahmed El Adawi,El Shorta Stadium
2016086,Awad Saafan,Borg El Arab Stadium
2016087,Mohamed Farouk,Ismailia Stadium
2016088,Ibrahim Nour Eldin,Tanta Stadium
2016089,Mohamed Maarouf,El Ahly Stadium
2016090,Ahmed Hamdi,Banha Stadium
2016091,Mohamed Hassan,Fayoum Stadium
2016092,Sabry Ibrahim,Borg El Arab Stadium
2016093,Hesham Abdelhamid,Borg El Arab Stadium
2016094,Mohamed El Hanafy,Petrosport Stadium
2016095,Mohamed Abou-Khater,Ismailia Stadium
2016096,Ahmed El Ghandour,Gehaz El Reyada Stadium
2016097,Walid Abdelrazak,Petrosport Stadium
2016098,Mahmoud Ashour,Aswan Stadium
2016099,Mohamed Adel,Suez Stadium
2016100,Mohamed Maarouf,El Max
2016101,Mohamed El Sabahi,El Salam Stadium
2016102,Said Hamza,Borg El Arab Stadium
2016103,Kamel Mohamed Kamel,Aswan Stadium
2016104,Awad Saafan,El Ahly Stadium
2016105,Sherif Rashwan,Tanta Stadium
2016106,Badawi Hemeda,El Salam Stadium
2016107,Samir Osman,Arab Contractors Stadium
2016108,Gehad Grisha,Borg El Arab Stadium
2016109,Mahmoud Ashour,Petrosport Stadium
2016110,Tarek Samy,Banha Stadium
2016111,Mohamed Salama,Petrosport Stadium
2016112,Ahmed El Ghandour,El Max
2016113,Ibrahim Nour Eldin,El Salam Stadium
2016114,Hesham Abdelhamid,Arab Contractors Stadium
2016115,Mahmoud El Banna,Ismailia Stadium
2016116,Ashraf Rashad,Aswan Stadium
2016117,Mohamed Hassan,Borg El Arab Stadium
2016118,Samir Osman,Aswan Stadium
2016119,Mohamed El Hanafy,El Ahly Stadium
2016120,Amin Omar,Gehaz El Reyada Stadium
2016121,Mohamed Farouk,El Max
2016122,,El Salam Stadium
