match_id,Referee,Stadium
2017000,Walid Abdelrazak,El Shorta Stadium
2017001,Mahmoud Wafa,Arab Contractors Stadium
2017002,Mohamed Salama,Tanta Stadium
2017003,Gehad Grisha,Alexandria Stadium
2017004,Ahmed El Ghandour,El Salam Stadium
2017005,Mohamed Abbas,30 June Stadium
2017006,Mahmoud Bassiouni,Borg El Arab Stadium
2017007,Ahmed Hamdi,El Ahly Stadium
2017008,Mohamed Adel,Petrosport Stadium
2017009,Mahmoud El Banna,Borg El Arab Stadium
2017010,Mohamed Youssef,Gehaz El Reyada Stadium
2017011,Abdelaziz El Sayed,El Max
2017012,Mahmoud Nagy,Cairo International Stadium
2017013,Mohamed Hassan,30 June Stadium
2017014,,Alexandria Stadium
2017015,Ibrahim Nour Eldin,Ismailia Stadium
2017016,Mohamed Maarouf,Petrosport Stadium
2017017,Amin Omar,Egyptian Army Stadium
2017018,Mahmoud Bassiouni,Petrosport Stadium
2017019,Wael Farhan,Alexandria Stadium
2017020,Mohamed Adel,El Salam Stadium
2017021,Hesham El Fallal,Tanta Stadium
2017022,Ahmed El Ghandour,Arab Contractors Stadium
2017023,Amin Omar,Borg El Arab Stadium
2017024,Mahmoud Wafa,30 June Stadium
2017025,Mohamed El Sabahi,El Shorta Stadium
2017026,Mohamed El Sabahi,El Ahly Stadium
2017027,Mohamed Hassan,El Max
2017028,Said Hamza,Cairo International Stadium
2017029,Ibrahim Nour Eldin,Borg El Arab Stadium
2017030,Mahmoud El Banna,30 June Stadium
2017031,Tarek Samy,Alexandria Stadium
2017032,Mohamed El Sabahi,Petrosport Stadium
2017033,Ibrahim Mahgoub,Suez Stadium
2017034,Gehad Grisha,El Shorta Stadium
2017035,Amin Omar,Borg El Arab Stadium
2017036,Ibrahim Nour Eldin,El Shorta Stadium
2017037,Mahmoud Ashour,Alexandria Stadium
2017038,Mohamed Adel,30 June Stadium
2017039,Gehad Grisha,30 June Stadium
2017040,Mohamed Farouk,Borg El Arab Stadium
2017041,Mahmoud El Banna,El Ahly Stadium
2017042,Amin Omar,El Salam Stadium
2017043,Mahmoud Bassiouni,Mahalla Stadium
2017044,Walid Abdelrazak,Petrosport Stadium
2017045,Mahmoud El Banna,Cairo International Stadium
2017046,Amin Omar,Gehaz El Reyada Stadium
2017047,Mahmoud Ashour,Petrosport Stadium
2017048,Mohamed Adel,Alexandria Stadium
2017049,Mohamed Maarouf,El Max
2017050,Mohamed Abou-Khater,Suez Stadium
2017051,Mahmoud Nagy,Ismailia Stadium
2017052,Mohamed Farouk,Petrosport Stadium
2017053,Ibrahim Nour Eldin,Petrosport Stadium
2017054,Ahmed El Ghandour,Tanta Stadium
2017055,Gehad Grisha,Alexandria Stadium
2017056,Osama Ismail,El Shorta Stadium
2017057,Mahmoud El Banna,Borg El Arab Stadium
2017058,Mohamed Youssef,Petrosport Stadium
2017059,Ibrahim Nour Eldin,El Salam Stadium
2017060,Mohamed Saber,Suez Stadium
2017061,Amin Omar,Cairo International Stadium
2017062,Gehad Grisha,Cairo International Stadium
2017063,Mohamed Farouk,Arab Contractors Stadium
2017064,Mohamed Maarouf,Ismailia Stadium
2017065,Mohamed El Hanafy,Alexandria Stadium
2017066,Mohamed El Sabahi,Cairo International Stadium
2017067,Ahmed El Ghandour,30 June Stadium
2017068,Ibrahim Nour Eldin,Borg El Arab Stadium
