match_id,Referee,Stadium
2023094,Ahmed El Ghandour,
2023095,Mostafa El Shohdi,Cairo International Stadium
2023096,Mohamed El Atbany,30 June Stadium
2023097,Abdelaziz El Sayed,Arab Contractors Stadium
2023098,Mahmoud Nagy,Alexandria Stadium
2023099,Ibrahim Mohamed,Borg El Arab Stadium
2023100,Hamada El Kalawi,Alexandria Stadium
2023101,Mostafa Osman,Arab Contractors Stadium
2023102,Nader Kamar,Alexandria Stadium
2023103,,Cairo International Stadium
2023104,Mahmoud Bassiouni,Mahalla Stadium
2023105,Hesham El Kadi,Ismailia Stadium
2023106,Mohamed El Ghazi,Cairo International Stadium
2023107,Ibrahim Mohamed,El Salam Stadium
2023108,Wael Farhan,Cairo International Stadium
2023109,Mahmoud Nasef,Petrosport Stadium
2023110,Mahmoud El Banna,30 June Stadium
2023111,Walid Abdelrazak,Cairo International Stadium
2023112,Mohamed Adel,Ismailia Stadium
2023113,Abdelaziz El Sayed,Arab Contractors Stadium
2023114,Khaled El Ghandour,El Salam Stadium
2023115,Mohamed Abbas Kabil,Borg El Arab Stadium
2023116,Mahmoud Bassiouni,Gehaz El Reyada Stadium
2023117,Sobhy El Amrawy,Mahalla Stadium
2023118,Ahmed Hamdi,Alexandria Stadium
2023119,Mahmoud Desouki,Alexandria Stadium
2023120,Mostafa El Shohdi,Khaled Bichara Stadium
2023121,Atef Hussein,Cairo International Stadium
2023122,Ahmed Gamal,Arab Contractors Stadium
2023123,Mohamed El Ghazi,Alexandria Stadium
2023124,,Cairo International Stadium
2023125,Javier Alberola Rojas,Cairo International Stadium
2023126,Mohamed El Kallawy,Arab Contractors Stadium
2023127,Sayed Shaaban,Ismailia Stadium
2023128,,Petrosport Stadium
2023129,Hosny Soltan,Gehaz El Reyada Stadium
2023130,Mohamed El Atbany,Borg El Arab Stadium
2023131,Mohamed Maarouf,30 June Stadium
2023132,Mahmoud Bassiouni,Cairo International Stadium
2023133,Mohamed Salama,Khaled Bichara Stadium
2023134,Mahmoud El Banna,Cairo International Stadium
2023135,Mahmoud Wafa,Alexandria Stadium
2023136,Sayed Mounir,Mahalla Stadium
2023137,Tarek Magdi,Arab Contractors Stadium
2023138,Nader Kamar,Alexandria Stadium
2023139,Hesham El Kadi,El Salam Stadium
2023140,Ibrahim Mohamed,Alexandria Stadium
2023141,Mostafa Osman,Cairo International Stadium
2023142,Tarek Magdi,Cairo International Stadium
2023143,Mohamed Maarouf,Gehaz El Reyada Stadium
2023144,Mostafa El Shohdi,Arab Contractors Stadium
2023145,Mohamed Maarouf,Ismailia Stadium
2023146,,Khaled Bichara Stadium
2023147,Mahmoud Nasef,Cairo International Stadium
2023148,Wael Farhan,Petrosport Stadium
2023149,Abdelaziz El Sayed,Borg El Arab Stadium
2023150,Ibrahim Nour Eldin,30 June Stadium
2023151,Mahmoud Wafa,Cairo International Stadium
2023152,Mohamed Adel,Cairo International Stadium
2023153,Atef Hussein,Khaled Bichara Stadium
2023154,Sobhy El Amrawy,Petrosport Stadium
2023155,Mohamed Maarouf,Cairo International Stadium
2023156,Mahmoud Nagy,Arab Contractors Stadium
2023157,Mahmoud El Banna,Cairo International Stadium
2023158,Mohamed Salama,Ismailia Stadium
2023159,Khaled El Ghandour,Mahalla Stadium
2023160,Benoît Bastien,Borg El Arab Stadium
2023161,Mohamed Adel,Cairo International Stadium
2023162,Ahmed Gamal,Cairo International Stadium
2023163,Ahmed Hamdi,El Salam Stadium
2023164,Amin Omar,Alexandria Stadium
2023165,Mahmoud Desouki,Alexandria Stadium
2023166,Abdelaziz El Sayed,Alexandria Stadium
2023167,Nader Kamar,Gehaz El Reyada Stadium
2023168,Mohamed Youssef,30 June Stadium
2023169,Mohamed Maarouf,Cairo International Stadium
2023170,Mahmoud El Banna,Arab Contractors Stadium
2023171,Hosny Soltan,Mahalla Stadium
2023172,Mahmoud Wafa,Khaled Bichara Stadium
2023173,Mohamed El Ghazi,Borg El Arab Stadium
2023174,Wael Farhan,Arab Contractors Stadium
2023175,Mohamed El Atbany,Arab Contractors Stadium
2023176,Ibrahim Mohamed,Petrosport Stadium
2023177,Ahmed El Ghandour,Borg El Arab Stadium
2023178,Mostafa Osman,El Salam Stadium
2023179,Mohamed Adel,Cairo International Stadium
2023180,Walid Abdelrazak,Alexandria Stadium
2023181,Mohamed Salama,Cairo International Stadium
2023182,Abdelaziz El Sayed,Alexandria Stadium
2023183,Mahmoud Bassiouni,Cairo International Stadium
2023184,,El Salam Stadium
2023185,Mahmoud El Banna,Alexandria Stadium
2023186,Mostafa El Shohdi,Cairo International Stadium
2023187,Nader Kamar,30 June Stadium
2023188,Tarek Magdi,Gehaz El Reyada Stadium
2023189,Ahmed Gamal,Ismailia Stadium
2023190,Mahmoud Nagy,Alexandria Stadium
2023191,Atef Hussein,Arab Contractors Stadium
2023192,Mahmoud Desouki,Khaled Bichara Stadium
2023193,Sobhy El Amrawy,Cairo International Stadium
2023194,Abdelaziz El Sayed,Arab Contractors Stadium
2023195,Mahmoud Nasef,Mahalla Stadium
2023196,Amin Omar,Borg El Arab Stadium
2023197,Mahmoud Nasef,Cairo International Stadium
2023198,Mohamed El Ghazi,Alexandria Stadium
2023199,Mohamed Adel,Gehaz El Reyada Stadium
2023200,,El Salam Stadium
2023201,Mahmoud Wafa,30 June Stadium
2023202,Hesham El Kadi,Alexandria Stadium
2023203,Mahmoud El Banna,Petrosport Stadium
2023204,Ibrahim Mohamed,Cairo International Stadium
2023205,Mahmoud Bassiouni,Cairo International Stadium
2023206,Ahmed Gamal,Cairo International Stadium
2023207,Tarek Magdi,Ismailia Stadium
2023208,Mohamed El Atbany,Borg El Arab Stadium
2023209,,Cairo International Stadium
2023210,,Arab Contractors Stadium
2023211,Mahmoud Bassiouni,Mahalla Stadium
2023212,Ahmed Hamdi,Khaled Bichara Stadium
2023213,Mahmoud Nagy,Arab Contractors Stadium
2023214,Amin Omar,Cairo International Stadium
2023215,Wael Farhan,Alexandria Stadium
2023216,Mostafa Osman,Petrosport Stadium
2023217,Mohamed Adel,El Max
2023218,Ahmed El Ghandour,El Salam Stadium
2023219,Amin Omar,Cairo International Stadium
2023220,Sayed Shaaban,Gehaz El Reyada Stadium
2023221,Hesham El Kadi,Borg El Arab Stadium
2023222,Mohamed Salama,30 June Stadium
2023223,Mohamed Maarouf,Alexandria Stadium
2023224,Ibrahim Mohamed,Cairo International Stadium
2023225,Sayed Mounir,Arab Contractors Stadium
2023226,,Khaled Bichara Stadium
2023227,Mahmoud Nasef,Ismailia Stadium
2023228,Ahmed El Ghandour,Borg El Arab Stadium
2023229,Mohamed El Kallawy,Alexandria Stadium
2023230,Tarek Magdi,Alexandria Stadium
2023231,Walid Abdelrazak,Cairo International Stadium
2023232,Amin Omar,Mahalla Stadium
2023233,Sobhy El Amrawy,Arab Contractors Stadium
2023234,Sayed Shaaban,Petrosport Stadium
2023235,Nader Kamar,Gehaz El Reyada Stadium
2023236,Mahmoud Desouki,Cairo International Stadium
2023237,Mahmoud Bassiouni,Borg El Arab Stadium
2023238,Mohamed El Hanafy,30 June Stadium
2023239,Mahmoud El Banna,Cairo International Stadium
2023240,Mohamed Abbas Kabil,El Salam Stadium
2023241,Mohamed Abbas Kabil,Alexandria Stadium
2023242,,Cairo International Stadium
2023243,Khaled El Ghandour,Khaled Bichara Stadium
2023244,Mohamed Maarouf,Ismailia Stadium
2023245,Ahmed Gamal,Cairo International Stadium
2023246,Amin Omar,Arab Contractors Stadium
2023247,Nader Kamar,Cairo International Stadium
2023248,Mohamed El Kallawy,Mahalla Stadium
2023249,Mohamed El Atbany,Alexandria Stadium
2023250,Tarek Magdi,Cairo International Stadium
2023251,Mohamed Salama,Alexandria Stadium
2023252,Hosny Soltan,Borg El Arab Stadium
2023253,Atef Hussein,Petrosport Stadium
2023254,Ahmed Hamdi,Cairo International Stadium
2023255,Mohamed El Hanafy,Arab Contractors Stadium
2023256,Mostafa El Shohdi,Alexandria Stadium
2023257,Mostafa Osman,Cairo International Stadium
2023258,Mahmoud Nasef,Gehaz El Reyada Stadium
2023259,Hesham El Kadi,Cairo International Stadium
2023260,Mohamed El Kallawy,30 June Stadium
2023261,Walid Abdelrazak,Alexandria Stadium
2023262,Mohamed El Ghazi,Cairo International Stadium
2023263,Sobhy El Amrawy,Borg El Arab Stadium
2023264,Amin Omar,Cairo International Stadium
2023265,Ibrahim Mohamed,Khaled Bichara Stadium
2023266,Wael Farhan,Harras El-Hedoud Stadium
2023267,Mahmoud El Banna,Alexandria Stadium
2023268,Hamada El Kalawi,Cairo International Stadium
2023269,Tarek Magdi,Arab Contractors Stadium
2023270,,Gehaz El Reyada Stadium
2023271,Ahmed El Ghandour,Cairo International Stadium
2023272,Mohamed Abbas Kabil,Arab Contractors Stadium
2023273,Mahmoud Nagy,Borg El Arab Stadium
2023274,Sayed Mounir,Petrosport Stadium
2023275,Mohamed El Atbany,El Salam Stadium
2023276,Abdelaziz El Sayed,Ismailia Stadium
2023277,Felix Zwayer,30 June Stadium
2023278,Amin Omar,Cairo International Stadium
2023279,Khaled Gamal,El Salam Stadium
2023280,Nader Kamar,Mahalla Stadium
2023281,Mostafa Osman,Alexandria Stadium
2023282,Ahmed Hamdi,Alexandria Stadium
2023283,Mahmoud Nagy,Cairo International Stadium
2023284,Ahmed El Ghandour,Arab Contractors Stadium
2023285,Sayed Shaaban,Borg El Arab Stadium
2023286,Amin Omar,Cairo International Stadium
2023287,Hesham El Kadi,Cairo International Stadium
2023288,Mahmoud Desouki,Arab Contractors Stadium
2023289,Mohamed El Hanafy,Cairo International Stadium
2023290,Amin Omar,Ismailia Stadium
2023291,Tarek Magdi,Khaled Bichara Stadium
2023292,Mahmoud El Banna,Cairo International Stadium
2023293,,Borg El Arab Stadium
2023294,Walid Abdelrazak,Cairo International Stadium
2023295,Shahenda El Maghrabi,30 June Stadium
2023296,Ahmed Hamdi,Petrosport Stadium
2023297,Mohamed El Ghazi,Gehaz El Reyada Stadium
2023298,Mahmoud Wafa,Alexandria Stadium
2023299,Nader Kamar,Alexandria Stadium
2023300,Mahmoud Nagy,Cairo International Stadium
2023301,Mohamed Abbas Kabil,Mahalla Stadium
2023302,Sobhy El Amrawy,El Salam Stadium
2023303,Hosny Soltan,Arab Contractors Stadium
2023304,Atef Hussein,Alexandria Stadium
2023305,Mohamed Salama,Cairo International Stadium
