match_id,Referee,Stadium
2023000,Mostafa Osman,Gehaz El Reyada Stadium
2023001,Ibrahim Nour Eldin,Cairo International Stadium
2023002,Mohamed Adel,Borg El Arab Stadium
2023003,Sobhy El Amrawy,El Salam Stadium
2023004,Hesham El Kadi,Arab Contractors Stadium
2023005,Mohamed El Atbany,Alexandria Stadium
2023006,Mahmoud Nagy,Borg El Arab Stadium
2023007,Abdelaziz El Sayed,Alexandria Stadium
2023008,Mahmoud Bassiouni,30 June Stadium
2023009,Ahmed El Ghandour,El Salam Stadium
2023010,Amin Omar,Cairo International Stadium
2023011,Mohamed El Ghazi,Mahalla Stadium
2023012,Tarek Magdi,Cairo International Stadium
2023013,Ahmed Gamal,Petrosport Stadium
2023014,Abdelaziz El Sayed,Cairo International Stadium
2023015,Mohamed Salama,Khaled Bichara Stadium
2023016,Hamada El Kalawi,Borg El Arab Stadium
2023017,Mohamed Maarouf,Ismailia Stadium
2023018,Mohamed Abbas Kabil,Cairo International Stadium
2023019,Mahmoud Wafa,Alexandria Stadium
2023020,Ahmed Hamdi,Alexandria Stadium
2023021,Wael Farhan,Alexandria Stadium
2023022,Mostafa El Shohdi,Borg El Arab Stadium
2023023,Mohamed Maarouf,Cairo International Stadium
2023024,Ahmed El Ghandour,Gehaz El Reyada Stadium
2023025,Mahmoud El Banna,Borg El Arab Stadium
2023026,Mahmoud Nagy,30 June Stadium
2023027,Ibrahim Nour Eldin,
2023028,,Suez Canal Authority Stadium
2023029,Mahmoud Nasef,Mahalla Stadium
2023030,Mohamed Youssef,Cairo International Stadium
2023031,Walid Abdelrazak,Petrosport Stadium
2023032,Sayed Mounir,Arab Contractors Stadium
2023033,Nader Kamar,Ismailia Stadium
2023034,Abdelaziz El Sayed,Cairo International Stadium
2023035,Mohamed Youssef,Khaled Bichara Stadium
2023036,Mahmoud Bassiouni,Borg El Arab Stadium
2023037,Mohamed Adel,Petrosport Stadium
2023038,Atef Hussein,Alexandria Stadium
2023039,Mohamed El Atbany,Cairo International Stadium
2023040,Mohamed Salama,Alexandria Stadium
2023041,Hosny Soltan,Gehaz El Reyada Stadium
2023042,Tarek Magdi,El Salam Stadium
2023043,,Cairo International Stadium
2023044,Ahmed El Ghandour,Cairo International Stadium
2023045,Mahmoud El Banna,Borg El Arab Stadium
2023046,Amin Omar,Arab Contractors Stadium
2023047,,Cairo International Stadium
2023048,Mahmoud Desouki,Khaled Bichara Stadium
2023049,Mostafa Osman,Mahalla Stadium
2023050,Ibrahim Nour Eldin,Arab Contractors Stadium
2023051,Mohamed Maarouf,Ismailia Stadium
2023052,Sayed Shaaban,Cairo International Stadium
2023053,Hesham El Kadi,Borg El Arab Stadium
2023054,Mohamed Youssef,30 June Stadium
2023055,Mohamed Adel,Cairo International Stadium
2023056,Tarek Magdi,Cairo International Stadium
2023057,Wael Farhan,Alexandria Stadium
2023058,,Gehaz El Reyada Stadium
2023059,Mohamed El Ghazi,Alexandria Stadium
2023060,Ahmed Gamal,Petrosport Stadium
2023061,Mahmoud Nasef,El Salam Stadium
2023062,Mohamed Salama,Cairo International Stadium
2023063,Walid Abdelrazak,Borg El Arab Stadium
2023064,Mahmoud Wafa,Mahalla Stadium
2023065,Mostafa El Shohdi,Suez Canal Authority Stadium
2023066,Ibrahim Mohamed,Ismailia Stadium
2023067,Atef Hussein,Arab Contractors Stadium
2023068,Walid Abdelrazak,Khaled Bichara Stadium
2023069,Mohamed Adel,Borg El Arab Stadium
2023070,Amin Omar,Cairo International Stadium
2023071,Ahmed El Ghandour,Cairo International Stadium
2023072,Hosny Soltan,Cairo International Stadium
2023073,Abdelaziz El Sayed,Cairo International Stadium
2023074,Mahmoud El Banna,Borg El Arab Stadium
2023075,,30 June Stadium
2023076,Ahmed Hamdi,El Salam Stadium
2023077,Mahmoud Desouki,Alexandria Stadium
2023078,Amin Omar,Gehaz El Reyada Stadium
2023079,Mahmoud Bassiouni,Petrosport Stadium
2023080,Mohamed Maarouf,Cairo International Stadium
2023081,Mahmoud Nagy,Khaled Bichara Stadium
2023082,Mohamed El Atbany,Mahalla Stadium
2023083,Ibrahim Nour Eldin,Alexandria Stadium
2023084,,Cairo International Stadium
2023085,,Borg El Arab Stadium
2023086,Mahmoud Bassiouni,Borg El Arab Stadium
2023087,Hamada El Kalawi,Ismailia Stadium
2023088,Mohamed El Ghazi,Arab Contractors Stadium
2023089,Ibrahim Nour Eldin,Cairo International Stadium
2023090,Nader Kamar,Cairo International Stadium
2023091,Mohamed El Ghazi,Gehaz El Reyada Stadium
2023092,Abdelaziz El Sayed,Petrosport Stadium
2023093,Mostafa Osman,El Salam Stadium
