match_id,Referee,Stadium
2020000,Abdelaziz El Sayed,Petrosport Stadium
2020001,Mohamed Salama,Gehaz El Reyada Stadium
2020002,Mohamed Youssef,El Salam Stadium
2020003,Said Hamza,El Shorta Stadium
2020004,Mohamed El Sabahi,30 June Stadium
2020005,Gehad Grisha,Cairo Military Academy Stadium
2020006,Mahmoud Nagy,Borg El Arab Stadium
2020007,Ibrahim Nour Eldin,El Ahly Stadium
2020008,Ahmed El Adawi,Alexandria Stadium
2020009,Mahmoud Ashour,Petrosport Stadium
2020010,Walid Abdelrazak,Suez Stadium
2020011,Ahmed Hamdi,El Salam Stadium
2020012,Mahmoud Bassiouni,Borg El Arab Stadium
2020013,Mahmoud El Banna,Ismailia Stadium
2020014,Mohamed Adel,30 June Stadium
2020015,Ahmed Gamal,Arab Contractors Stadium
2020016,Mohamed El Hanafy,Alexandria Stadium
2020017,Tarek Magdi,El Ahly Stadium
2020018,Ahmed El Adawi,El Shorta Stadium
2020019,Mohamed Youssef,Khaled Bichara Stadium
2020020,Mohamed El Sabahi,
2020021,Said Hamza,Petrosport Stadium
2020022,Gehad Grisha,Gehaz El Reyada Stadium
2020023,Mahmoud Ashour,Alexandria Stadium
2020024,Gehad Grisha,El Ahly Stadium
2020025,Gehad Grisha,30 June Stadium
2020026,Ahmed Gamal,Arab Contractors Stadium
2020027,Abdelaziz El Sayed,El Salam Stadium
2020028,Tarek Magdi,Aswan Stadium
2020029,Mahmoud El Banna,Mahalla Stadium
2020030,Mahmoud Bassiouni,Ismailia Stadium
2020031,,El Salam Stadium
2020032,Walid Abdelrazak,Arab Contractors Stadium
2020033,Mohamed El Hanafy,Arab Contractors Stadium
2020034,Mohamed Youssef,Alexandria Stadium
2020035,Mahmoud El Banna,Cairo International Stadium
2020036,Mohamed Maarouf,Aswan Stadium
2020037,Ahmed El Adawi,Khaled Bichara Stadium
2020038,Mohamed Youssef,Arab Contractors Stadium
2020039,Ahmed Gamal,
2020040,Mahmoud Nagy,30 June Stadium
2020041,Ahmed El Ghandour,El Ahly Stadium
2020042,Amin Omar,Borg El Arab Stadium
2020043,Mohamed Adel,Gehaz El Reyada Stadium
2020044,Mohamed El Sabahi,Petrosport Stadium
2020045,Mahmoud Ashour,Alexandria Stadium
2020046,Mohamed Maarouf,El Shorta Stadium
2020047,Mohamed Adel,
2020048,Mohamed Youssef,Suez Stadium
2020049,Mohamed Salama,Fayoum Stadium
2020050,Walid Abdelrazak,Mahalla Stadium
2020051,Ibrahim Nour Eldin,Cairo International Stadium
2020052,Walid Abdelrazak,El Salam Stadium
2020053,Mohamed El Hanafy,Ismailia Stadium
2020054,Ahmed Hamdi,Fayoum Stadium
2020055,Ahmed El Adawi,Alexandria Stadium
2020056,Mohamed El Hanafy,Borg El Arab Stadium
2020057,Mohamed Adel,El Ahly Stadium
2020058,Abdelaziz El Sayed,Sekka El Hadid Stadium
2020059,Ahmed Hamdi,Khaled Bichara Stadium
2020060,Tarek Magdi,Gehaz El Reyada Stadium
2020061,Mahmoud Nagy,Petrosport Stadium
2020062,Mahmoud Bassiouni,30 June Stadium
2020063,Mohamed Salama,El Max
2020064,Said Hamza,Mahalla Stadium
2020065,,Suez Canal Authority Stadium
2020066,Ahmed El Adawi,Petrosport Stadium
2020067,Mohamed El Sabahi,Borg El Arab Stadium
2020068,Mohamed El Sabahi,Arab Contractors Stadium
2020069,Mohamed El Sabahi,Ismailia Stadium
2020070,Mohamed El Hanafy,Alexandria Stadium
2020071,Ahmed Hamdi,El Salam Stadium
2020072,Mahmoud Nagy,El Ahly Stadium
2020073,Mohamed Adel,Alexandria Stadium
2020074,Mohamed El Hanafy,Gehaz El Reyada Stadium
2020075,Mahmoud Ashour,Mahalla Stadium
2020076,Mohamed Youssef,Petrosport Stadium
2020077,Ahmed Gamal,Petrosport Stadium
2020078,Abdelaziz El Sayed,Khaled Bichara Stadium
2020079,Ahmed El Adawi,Fayoum Stadium
2020080,Ibrahim Nour Eldin,Borg El Arab Stadium
2020081,Gehad Grisha,30 June Stadium
2020082,Mahmoud Nagy,Cairo International Stadium
2020083,Amin Omar,Petrosport Stadium
2020084,Mahmoud Bassiouni,Suez Canal Authority Stadium
2020085,Ahmed Hamdi,
2020086,Ibrahim Nour Eldin,Borg El Arab Stadium
