match_id,Referee,Stadium
2019092,Mohamed Maarouf,Alexandria Stadium
2019093,Said Hamza,Ismailia Stadium
2019094,Amin Omar,El Salam Stadium
2019095,Walid Abdelrazak,El Max
2019096,Mahmoud Nagy,Egyptian Army Stadium
2019097,Tarek Samy,Cairo International Stadium
2019098,Mohamed Hassan,Petrosport Stadium
2019099,Ahmed Hamdi,Arab Contractors Stadium
2019100,Ibrahim Nour Eldin,Mahalla Stadium
2019101,Mohamed Adel,Cairo International Stadium
2019102,Ahmed El Ghandour,Aswan Stadium
2019103,Amin Omar,Egyptian Army Stadium
2019104,Mohamed Maarouf,30 June Stadium
2019105,Mohamed El Hanafy,Gehaz El Reyada Stadium
2019106,Mohamed Abou-Khater,El Max
2019107,Mahmoud Ashour,Petrosport Stadium
2019108,Hesham El Fallal,Cairo Military Academy Stadium
2019109,Nader Kamar,El Max
2019110,Ahmed Gamal,El Salam Stadium
2019111,Tarek Magdi,Ismailia Stadium
2019112,Mahmoud Wafa,Petrosport Stadium
2019113,Amin Omar,Khaled Bichara Stadium
2019114,Mahmoud Ashour,Cairo International Stadium
2019115,Ahmed El Adawi,Egyptian Army Stadium
2019116,Ibrahim Nour Eldin,El Max
2019117,Ahmed Gamal,Petrosport Stadium
2019118,Wael Farhan,El Salam Stadium
2019119,Mohamed Youssef,El Max
2019120,Ahmed El Ghandour,El Salam Stadium
2019121,Mahmoud Bassiouni,Aswan Stadium
2019122,Mahmoud Nagy,Gehaz El Reyada Stadium
2019123,Mohamed El Hanafy,Tanta Stadium
2019124,Mahmoud El Banna,30 June Stadium
2019125,Mohamed Adel,Borg El Arab Stadium
2019126,Mohamed Abou-Khater,Arab Contractors Stadium
2019127,Mabrouk Nabil,El Max
2019128,Mahmoud Ashour,Arab Contractors Stadium
2019129,Mohamed Maarouf,Cairo International Stadium
2019130,Sabry Ibrahim,Egyptian Army Stadium
2019131,Tarek Magdi,Cairo Military Academy Stadium
2019132,Mahmoud Nagy,Ismailia Stadium
2019133,Abdelaziz El Sayed,El Max
2019134,Mahmoud El Banna,Cairo International Stadium
2019135,Mohamed Sayed Bakr,Aswan Stadium
2019136,Ahmed Hamdi,El Salam Stadium
2019137,Walid Abdelrazak,Petrosport Stadium
2019138,Mohamed El Hanafy,El Max
2019139,Nader Kamar,Khaled Bichara Stadium
2019140,Mahmoud Bassiouni,Gehaz El Reyada Stadium
2019141,Mohamed Youssef,Cairo International Stadium
2019142,Ahmed Gamal,Egyptian Army Stadium
2019143,Ibrahim Nour Eldin,30 June Stadium
2019144,Khaled El Ghandour,El Max
2019145,Hamada El Kalawi,Cairo Military Academy Stadium
2019146,Mahmoud Nasef,Arab Contractors Stadium
2019147,Mohamed El Tabei,El Max
2019148,Mahmoud Ashour,Ismailia Stadium
2019149,Ibrahim Mahgoub,Tanta Stadium
2019150,Sayed Shaaban,Egyptian Army Stadium
2019151,Mahmoud El Banna,Cairo International Stadium
2019152,Mohamed Adel,Arab Contractors Stadium
2019153,Mahmoud Bassiouni,Ismailia Stadium
2019154,Said Hamza,Arab Contractors Stadium
2019155,Mahmoud Nagy,Petrosport Stadium
2019156,Tarek Magdi,Tanta Stadium
2019157,Mohamed Adel,Cairo International Stadium
2019158,Ahmed Hamdi,Arab Contractors Stadium
2019159,Mohamed El Hanafy,Borg El Arab Stadium
2019160,Mohamed El Hanafy,Borg El Arab Stadium
2019161,Ahmed Hamdi,Cairo Military Academy Stadium
2019162,Mohamed Maarouf,Gehaz El Reyada Stadium
2019163,Ahmed Gamal,El Salam Stadium
2019164,Said Hamza,El Shorta Stadium
2019165,Mohamed Youssef,Alexandria Stadium
2019166,Walid Abdelrazak,Khaled Bichara Stadium
2019167,Ahmed El Adawi,Petrosport Stadium
2019168,Mahmoud Ashour,El Salam Stadium
2019169,Ibrahim Nour Eldin,Cairo International Stadium
2019170,Mahmoud Bassiouni,
2019171,Mohamed Maarouf,30 June Stadium
2019172,Amin Omar,Petrosport Stadium
2019173,Mahmoud El Banna,Arab Contractors Stadium
2019174,Tarek Magdi,Cairo International Stadium
2019175,Mohamed El Hanafy,Borg El Arab Stadium
2019176,Mohamed Salama,Arab Contractors Stadium
2019177,Ahmed El Ghandour,Cairo Military Academy Stadium
2019178,Mahmoud Bassiouni,Ismailia Stadium
2019179,Mohamed Maarouf,Alexandria Stadium
2019180,Ahmed El Adawi,El Salam Stadium
2019181,Mahmoud Nagy,El Shorta Stadium
2019182,Mahmoud Ashour,Alexandria Stadium
2019183,Amin Omar,Gehaz El Reyada Stadium
2019184,Ahmed Gamal,Khaled Bichara Stadium
2019185,Mohamed Youssef,Borg El Arab Stadium
2019186,Ivan Bebek,Cairo International Stadium
2019187,Ibrahim Nour Eldin,El Max
2019188,Mohamed Adel,Petrosport Stadium
2019189,Ahmed Hamdi,Petrosport Stadium
2019190,Mohamed El Hanafy,30 June Stadium
2019191,Ahmed El Ghandour,Gehaz El Reyada Stadium
2019192,Mahmoud Bassiouni,Borg El Arab Stadium
2019193,Ibrahim Nour Eldin,Cairo International Stadium
2019194,Mohamed Salama,Alexandria Stadium
2019195,Walid Abdelrazak,Arab Contractors Stadium
2019196,Tarek Magdi,Alexandria Stadium
2019197,Mohamed Maarouf,Cairo International Stadium
2019198,Gehad Grisha,El Salam Stadium
2019199,Mahmoud Bassiouni,El Shorta Stadium
2019200,Amin Omar,Borg El Arab Stadium
2019201,Mahmoud Nagy,Petrosport Stadium
2019202,Mohamed Maarouf,Alexandria Stadium
2019203,Said Hamza,Khaled Bichara Stadium
2019204,Mahmoud Ashour,Cairo International Stadium
2019205,Mohamed Adel,El Max
2019206,Mohamed Youssef,Ismailia Stadium
2019207,Mahmoud El Banna,Cairo Military Academy Stadium
2019208,Tarek Magdi,Petrosport Stadium
2019209,Amin Omar,Alexandria Stadium
2019210,Ahmed El Ghandour,Borg El Arab Stadium
2019211,Ahmed Hamdi,Cairo Military Academy Stadium
2019212,Ahmed Gamal,Borg El Arab Stadium
2019213,Mohamed El Hanafy,30 June Stadium
2019214,Ahmed El Adawi,Arab Contractors Stadium
2019215,Gehad Grisha,Cairo International Stadium
2019216,Walid Abdelrazak,El Shorta Stadium
2019217,Ibrahim Nour Eldin,El Salam Stadium
2019218,Mahmoud Nagy,Khaled Bichara Stadium
2019219,Mohamed Maarouf,Borg El Arab Stadium
2019220,Mohamed Adel,Cairo International Stadium
2019221,Mahmoud El Banna,Alexandria Stadium
2019222,Tarek Magdi,Petrosport Stadium
2019223,Mohamed Salama,Ismailia Stadium
2019224,Ahmed El Ghandour,El Max
2019225,Ibrahim Nour Eldin,Borg El Arab Stadium
2019226,Gehad Grisha,El Salam Stadium
2019227,Mohamed Youssef,Arab Contractors Stadium
2019228,Mahmoud El Banna,Borg El Arab Stadium
2019229,Ahmed El Adawi,Cairo Military Academy Stadium
2019230,Ahmed Hamdi,Tanta Stadium
2019231,Mohamed El Hanafy,Gehaz El Reyada Stadium
2019232,Mahmoud Ashour,Borg El Arab Stadium
2019233,Mahmoud Bassiouni,Petrosport Stadium
2019234,Amin Omar,Cairo International Stadium
2019235,Mohamed Adel,El Shorta Stadium
2019236,Ibrahim Nour Eldin,Borg El Arab Stadium
2019237,Ahmed Gamal,Arab Contractors Stadium
2019238,Mohamed Maarouf,Ismailia Stadium
2019239,Tarek Magdi,Khaled Bichara Stadium
2019240,Ahmed El Ghandour,Petrosport Stadium
2019241,Gehad Grisha,Borg El Arab Stadium
2019242,Mahmoud Nagy,El Max
2019243,Hany Abdelfattah,Cairo International Stadium
2019244,Walid Abdelrazak,Tanta Stadium
2019245,Mohamed El Hanafy,Cairo International Stadium
2019246,Mahmoud Bassiouni,El Salam Stadium
2019247,Mohamed Salama,Arab Contractors Stadium
2019248,Mohamed Youssef,Petrosport Stadium
2019249,Mohamed Adel,El Max
2019250,Amin Omar,Gehaz El Reyada Stadium
2019251,Mahmoud El Banna,30 June Stadium
2019252,Ahmed El Adawi,Cairo International Stadium
2019253,Mahmoud Bassiouni,Cairo Military Academy Stadium
2019254,Mohamed Youssef,Petrosport Stadium
2019255,Mahmoud Nagy,Borg El Arab Stadium
2019256,Amin Omar,Khaled Bichara Stadium
2019257,Mohamed Adel,Ismailia Stadium
2019258,Tarek Magdi,El Max
2019259,Abdelaziz El Sayed,Arab Contractors Stadium
2019260,Mohamed El Sabahi,Alexandria Stadium
2019261,Ahmed Hamdi,El Salam Stadium
2019262,Ahmed El Ghandour,Cairo International Stadium
2019263,Mohamed El Sabahi,El Max
2019264,Mohamed El Hanafy,Gehaz El Reyada Stadium
2019265,Ibrahim Nour Eldin,El Salam Stadium
2019266,Mahmoud El Banna,Borg El Arab Stadium
2019267,Said Hamza,Arab Contractors Stadium
2019268,Mahmoud Ashour,Petrosport Stadium
2019269,Gehad Grisha,30 June Stadium
2019270,Mohamed Maarouf,Khaled Bichara Stadium
2019271,Amin Omar,Borg El Arab Stadium
2019272,Mohamed El Hanafy,El Max
2019273,Mahmoud Nagy,Ismailia Stadium
2019274,Walid Abdelrazak,Cairo Military Academy Stadium
2019275,Mohamed Adel,Petrosport Stadium
2019276,Mohamed Salama,Arab Contractors Stadium
2019277,Ibrahim Nour Eldin,Borg El Arab Stadium
2019278,Gehad Grisha,Cairo International Stadium
2019279,Mahmoud Ashour,Borg El Arab Stadium
2019280,Mohamed Maarouf,El Salam Stadium
2019281,Ahmed El Adawi,30 June Stadium
2019282,Mohamed Youssef,Petrosport Stadium
2019283,Ahmed El Ghandour,Aswan Stadium
2019284,Mohamed El Sabahi,Cairo International Stadium
2019285,Said Hamza,Tanta Stadium
2019286,Abdelaziz El Sayed,Borg El Arab Stadium
2019287,Tarek Magdi,Gehaz El Reyada Stadium
2019288,Mahmoud El Banna,Cairo International Stadium
2019289,Mahmoud Nagy,El Max
2019290,Mohamed El Hanafy,El Salam Stadium
2019291,Ahmed Gamal,Ismailia Stadium
2019292,Abdelaziz El Sayed,Arab Contractors Stadium
2019293,Walid Abdelrazak,Fayoum Stadium
2019294,Ahmed El Adawi,Alexandria Stadium
2019295,Mohamed El Sabahi,Tanta Stadium
2019296,Mohamed Salama,Cairo Military Academy Stadium
2019297,Mahmoud El Banna,Cairo International Stadium
2019298,Tarek Magdi,Aswan Stadium
2019299,Said Hamza,El Salam Stadium
2019300,Mahmoud Bassiouni,Petrosport Stadium
2019301,Mohamed Youssef,Khaled Bichara Stadium
2019302,Ibrahim Nour Eldin,Borg El Arab Stadium
2019303,Abdelaziz El Sayed,El Max
2019304,Gehad Grisha,30 June Stadium
2019305,Amin Omar,El Salam Stadium
