match_id,Referee,Stadium
2019000,Mohamed Youssef,Gehaz El Reyada Stadium
2019001,Ibrahim Nour Eldin,Khaled Bichara Stadium
2019002,Mohamed Maarouf,30 June Stadium
2019003,Said Hamza,Aswan Stadium
2019004,Mahmoud Bassiouni,Petrosport Stadium
2019005,Ahmed Hamdi,El Salam Stadium
2019006,Tarek Magdi,Borg El Arab Stadium
2019007,Ahmed El Ghandour,Borg El Arab Stadium
2019008,Amin Omar,Petrosport Stadium
2019009,Mohamed Abou-Khater,El Max
2019010,Mahmoud El Banna,Petrosport Stadium
2019011,Walid Abdelrazak,Cairo Military Academy Stadium
2019012,Ahmed El Adawi,Arab Contractors Stadium
2019013,Mahmoud Ashour,Borg El Arab Stadium
2019014,Gehad Grisha,Borg El Arab Stadium
2019015,Mohamed El Sabahi,El Ahly Stadium
2019016,Tarek Samy,Tanta Stadium
2019017,Mohamed Adel,El Salam Stadium
2019018,Mohamed Youssef,Alexandria Stadium
2019019,Mohamed El Hanafy,Aswan Stadium
2019020,Mahmoud Nagy,Petrosport Stadium
2019021,Nader Kamar,El Salam Stadium
2019022,Ibrahim Nour Eldin,Egyptian Army Stadium
2019023,Mohamed Hassan,Khaled Bichara Stadium
2019024,Amin Omar,Gehaz El Reyada Stadium
2019025,Mohamed Salama,El Max
2019026,Tarek Magdi,El Salam Stadium
2019027,Abdelaziz El Sayed,Cairo Military Academy Stadium
2019028,Mahmoud Bassiouni,Petrosport Stadium
2019029,Mohamed Maarouf,Gehaz El Reyada Stadium
2019030,Mohamed El Sabahi,30 June Stadium
2019031,Ahmed El Adawi,Alexandria Stadium
2019032,Ahmed El Ghandour,Ismailia Stadium
2019033,Ahmed El Ghandour,Tanta Stadium
2019034,Hesham El Fallal,Arab Contractors Stadium
2019035,Gediminas Mazeika,Cairo International Stadium
2019036,Mahmoud El Banna,El Salam Stadium
2019037,Mahmoud Ashour,El Salam Stadium
2019038,Mohamed Hassan,Egyptian Army Stadium
2019039,Mohamed Abou-Khater,Aswan Stadium
2019040,Mohamed El Hanafy,Petrosport Stadium
2019041,Said Hamza,Khaled Bichara Stadium
2019042,Walid Abdelrazak,Alexandria Stadium
2019043,Ahmed Hamdi,Ismailia Stadium
2019044,Mohamed Adel,El Max
2019045,Mohamed El Sabahi,El Salam Stadium
2019046,Ahmed Gamal,Cairo Military Academy Stadium
2019047,Gehad Grisha,El Salam Stadium
2019048,Amin Omar,Tanta Stadium
2019049,Ibrahim Mahgoub,30 June Stadium
2019050,Ibrahim Nour Eldin,Gehaz El Reyada Stadium
2019051,Wael Farhan,Arab Contractors Stadium
2019052,Mohamed El Hanafy,Borg El Arab Stadium
2019053,Mohamed El Hanafy,El Max
2019054,Mohamed Salama,Khaled Bichara Stadium
2019055,Mohamed Adel,El Salam Stadium
2019056,,El Max
2019057,Tarek Magdi,Ismailia Stadium
2019058,Said Hamza,El Salam Stadium
2019059,Abdelaziz El Sayed,Alexandria Stadium
2019060,Mahmoud Bassiouni,Egyptian Army Stadium
2019061,Mahmoud Ashour,Petrosport Stadium
2019062,Ibrahim Nour Eldin,Aswan Stadium
2019063,Sobhy El Amrawy,Cairo International Stadium
2019064,Mahmoud Desouki,Alexandria Stadium
2019065,Ibrahim Nour Eldin,Cairo International Stadium
2019066,Mohamed Maarouf,Tanta Stadium
2019067,Ahmed Gamal,Arab Contractors Stadium
2019068,Ahmed El Ghandour,Arab Contractors Stadium
2019069,Gehad Grisha,Egyptian Army Stadium
2019070,Mahmoud Nagy,30 June Stadium
2019071,Tarek Samy,Suez Stadium
2019072,Mahmoud El Banna,El Max
2019073,Sabry Ibrahim,Aswan Stadium
2019074,Abdelaziz El Sayed,El Max
2019075,Nader Kamar,Alexandria Stadium
2019076,Ahmed El Adawi,El Salam Stadium
2019077,Mohamed El Hanafy,Cairo International Stadium
2019078,Mohamed Abou-Khater,Khaled Bichara Stadium
2019079,Ahmed Hamdi,Petrosport Stadium
2019080,Mohamed Adel,Suez Stadium
2019081,Ahmed Gamal,Arab Contractors Stadium
2019082,Tarek Magdi,Cairo International Stadium
2019083,Mahmoud El Banna,Tanta Stadium
2019084,Mohamed Youssef,Cairo International Stadium
2019085,Ahmed El Ghandour,El Salam Stadium
2019086,Mohamed Abbas Kabil,Petrosport Stadium
2019087,Mahmoud Ashour,Egyptian Army Stadium
2019088,Hesham El Fallal,Alexandria Stadium
2019089,Mohamed Salama,30 June Stadium
2019090,Wael Farhan,Cairo Military Academy Stadium
2019091,Sobhy El Amrawy,Khaled Bichara Stadium
