match_id,Referee,Stadium
2024000,Mohamed El Kallawy,El Max
2024001,Tarek Magdi,Suez Stadium
2024002,Ahmed Hamdi,Khaled Bichara Stadium
2024003,Mostafa El Shohdi,El Salam Stadium
2024004,Abdelaziz El Sayed,Alexandria Stadium
2024005,Mahmoud El Banna,30 June Stadium
2024006,Mohamed Adel,El Salam Stadium
2024007,Mohamed Maarouf,Ismailia Stadium
2024008,Mahmoud Bassiouni,El Ahly Stadium
2024009,Amin Omar,Mahalla Stadium
2024010,Mohamed El Hanafy,Alexandria Stadium
2024011,Mahmoud Nagy,Cairo International Stadium
2024012,Tarek Magdi,Borg El Arab Stadium
2024013,Mahmoud Wafa,Cairo Military Academy Stadium
2024014,Abdelaziz El Sayed,Petrosport Stadium
2024015,Ahmed El Ghandour,Cairo International Stadium
2024016,Ibrahim Mohamed,Suez Stadium
2024017,Ahmed Gamal,Arab Contractors Stadium
2024018,Mohamed El Atbany,Alexandria Stadium
2024019,Mahmoud Bassiouni,30 June Stadium
2024020,Mohamed Maarouf,El Ahly Stadium
2024021,Abdelaziz El Sayed,Gehaz El Reyada Stadium
2024022,Mostafa El Shohdi,Khaled Bichara Stadium
2024023,Mohamed El Hanafy,Borg El Arab Stadium
2024024,Amin Omar,Ismailia Stadium
2024025,,El Max
2024026,Tarek Magdi,Cairo International Stadium
2024027,Mostafa Osman,Cairo International Stadium
2024028,Mohamed El Kallawy,Arab Contractors Stadium
2024029,Ahmed El Ghandour,Alexandria Stadium
2024030,Mohamed El Hanafy,Cairo International Stadium
2024031,Hesham El Kadi,Alexandria Stadium
2024032,Ibrahim Mohamed,Petrosport Stadium
2024033,Amin Omar,Suez Stadium
2024034,Walid Abdelrazak,Cairo Military Academy Stadium
2024035,Mahmoud Bassiouni,Mahalla Stadium
2024036,Nader Kamar,Gehaz El Reyada Stadium
2024037,Ibrahim Mohamed,El Max
2024038,Amin Omar,Cairo International Stadium
2024039,Mohamed Maarouf,Cairo International Stadium
2024040,Ahmed Gamal,Khaled Bichara Stadium
2024041,,Alexandria Stadium
2024042,Mostafa El Shohdi,Mahalla Stadium
2024043,Abdelaziz El Sayed,Ismailia Stadium
2024044,Nader Kamar,Cairo International Stadium
2024045,Mahmoud Nasef,Cairo International Stadium
2024046,Tarek Magdi,Gehaz El Reyada Stadium
2024047,Mohamed El Hanafy,Alexandria Stadium
2024048,Mohamed El Kallawy,Ismailia Stadium
2024049,Ahmed Hamdi,30 June Stadium
2024050,Mohamed El Ghazi,Cairo International Stadium
2024051,Mohamed Maarouf,Alexandria Stadium
2024052,Mahmoud El Banna,Borg El Arab Stadium
2024053,Amin Omar,Cairo Military Academy Stadium
2024054,Walid Abdelrazak,El Max
2024055,Ahmed El Ghandour,Cairo International Stadium
2024056,Mahmoud Bassiouni,Petrosport Stadium
2024057,Mohamed El Sabahi,Khaled Bichara Stadium
2024058,Mahmoud Wafa,Alexandria Stadium
2024059,Mohamed Adel,Cairo International Stadium
2024060,Mahmoud Nagy,Arab Contractors Stadium
2024061,Amin Omar,Cairo International Stadium
2024062,Mostafa Osman,Mahalla Stadium
2024063,Hesham El Kadi,Cairo Military Academy Stadium
2024064,Mahmoud El Banna,Gehaz El Reyada Stadium
2024065,Mohamed Abbas Kabil,Cairo International Stadium
2024066,Mahmoud Desouki,Alexandria Stadium
2024067,Abdelaziz El Sayed,Alexandria Stadium
2024068,Tarek Magdi,30 June Stadium
2024069,Mohamed El Hanafy,Cairo International Stadium
2024070,Mohamed El Kallawy,Cairo International Stadium
2024071,Mohamed El Sabahi,Suez Stadium
2024072,Nader Kamar,Khaled Bichara Stadium
2024073,Atef Hussein,Mahalla Stadium
2024074,Ahmed Naser,Petrosport Stadium
2024075,Ahmed El Ghandour,Ismailia Stadium
