match_id,Referee,Stadium
2022000,Mohamed Maarouf,Aswan Stadium
2022001,Mahmoud Nagy,Petrosport Stadium
2022002,Sayed Mounir,Borg El Arab Stadium
2022003,Amin Omar,Petrosport Stadium
2022004,Mohamed Adel,Borg El Arab Stadium
2022005,Nader Kamar,Arab Contractors Stadium
2022006,Mohamed El Kallawy,Arab Contractors Stadium
2022007,Mohamed El Hanafy,El Max
2022008,Mahmoud Bassiouni,Suez Stadium
2022009,Tarek Magdi,Borg El Arab Stadium
2022010,Mohamed Maarouf,Cairo International Stadium
2022011,Ahmed El Ghandour,El Ahly Stadium
2022012,Ahmed Hamdi,Mahalla Stadium
2022013,Walid Abdelrazak,Alexandria Stadium
2022014,Mohamed El Sabahi,El Salam Stadium
2022015,Abdelaziz El Sayed,Borg El Arab Stadium
2022016,Youssef Mohamed,Gehaz El Reyada Stadium
2022017,Mostafa Osman,Alexandria Stadium
2022018,Ahmed Gamal,Aswan Stadium
2022019,Mohamed Adel,
2022020,Nader Kamar,Alexandria Stadium
2022021,Wael Farhan,Arab Contractors Stadium
2022022,Ibrahim Nour Eldin,El Max
2022023,Hesham El Fallal,Cairo International Stadium
2022024,Amin Omar,El Shorta Stadium
2022025,Ibrahim Nour Eldin,Cairo International Stadium
2022026,Sobhy El Amrawy,Ismailia Stadium
2022027,Mahmoud El Banna,Arab Contractors Stadium
2022028,Mohamed El Kallawy,Alexandria Stadium
2022029,Mahmoud Nagy,El Salam Stadium
2022030,Ibrahim Nour Eldin,30 June Stadium
2022031,Mahmoud Wafa,Mahalla Stadium
2022032,Mahmoud Nagy,Suez Stadium
2022033,Tarek Magdi,Borg El Arab Stadium
2022034,Mohamed El Sabahi,Cairo International Stadium
2022035,Mahmoud El Banna,El Ahly Stadium
2022036,,El Max
2022037,Ahmed Gamal,Cairo International Stadium
2022038,Ahmed El Ghandour,Alexandria Stadium
2022039,Ibrahim Nour Eldin,Aswan Stadium
2022040,Mohamed Youssef,El Shorta Stadium
2022041,Amin Omar,Borg El Arab Stadium
2022042,Mohamed El Hanafy,Ismailia Stadium
2022043,Sobhy El Amrawy,Arab Contractors Stadium
2022044,Mohamed Adel,El Ahly Stadium
2022045,Nader Kamar,Borg El Arab Stadium
2022046,Mohamed Salama,30 June Stadium
2022047,Mohamed Abbas Kabil,Alexandria Stadium
2022048,Mohamed El Hanafy,Mahalla Stadium
2022049,Ahmed El Ghandour,Gehaz El Reyada Stadium
2022050,Mahmoud Nasef,Petrosport Stadium
2022051,,Alexandria Stadium
2022052,Mohamed Maarouf,Cairo International Stadium
2022053,Mahmoud El Banna,Suez Canal Authority Stadium
2022054,,Mahalla Stadium
2022055,Walid Abdelrazak,Aswan Stadium
2022056,,El Shorta Stadium
2022057,Mostafa El Shohdi,Alexandria Stadium
2022058,Mohamed Youssef,Arab Contractors Stadium
2022059,Abdelaziz El Sayed,Ismailia Stadium
2022060,Wael Farhan,Suez Stadium
2022061,Nader Kamar,Cairo International Stadium
2022062,Amin Omar,El Ahly Stadium
2022063,Mostafa El Shohdi,Suez Canal Authority Stadium
2022064,Mohamed Adel,Alexandria Stadium
2022065,Mahmoud El Banna,Cairo International Stadium
2022066,Wael Farhan,30 June Stadium
2022067,Mohamed Maarouf,Petrosport Stadium
2022068,Ibrahim Nour Eldin,Gehaz El Reyada Stadium
2022069,Tarek Magdi,Borg El Arab Stadium
2022070,Mahmoud Nagy,Cairo International Stadium
2022071,Mohamed El Atbany,Borg El Arab Stadium
2022072,Hesham El Kadi,Alexandria Stadium
2022073,Sobhy El Amrawy,El Salam Stadium
2022074,Mohamed Adel,Aswan Stadium
2022075,Sayed Mounir,Mahalla Stadium
2022076,Mohamed Salama,El Max
2022077,Nader Kamar,Cairo International Stadium
2022078,Mohamed El Kallawy,Borg El Arab Stadium
2022079,Abdelaziz El Sayed,Arab Contractors Stadium
2022080,Ahmed El Ghandour,El Ahly Stadium
2022081,Mohamed Youssef,30 June Stadium
2022082,,Petrosport Stadium
2022083,Walid Abdelrazak,Gehaz El Reyada Stadium
2022084,Ahmed El Ghandour,Alexandria Stadium
2022085,Ibrahim Nour Eldin,Cairo International Stadium
2022086,Tarek Magdi,Borg El Arab Stadium
2022087,Mahmoud El Banna,Cairo International Stadium
2022088,Mohamed El Sabahi,Borg El Arab Stadium
2022089,Ali El Said,Cairo International Stadium
2022090,Amin Omar,Aswan Stadium
2022091,Nader Kamar,El Shorta Stadium
2022092,Mahmoud Nagy,Alexandria Stadium
2022093,Szymon Marciniak,Cairo International Stadium
2022094,Abdelaziz El Sayed,Mahalla Stadium
2022095,Mohamed Adel,Arab Contractors Stadium
2022096,Ahmed El Ghandour,Ismailia Stadium
2022097,Wael Farhan,El Salam Stadium
2022098,Mostafa Osman,Alexandria Stadium
2022099,Mahmoud El Banna,Arab Contractors Stadium
2022100,Mahmoud Nagy,Cairo International Stadium
2022101,Mohamed Salama,30 June Stadium
2022102,Mohamed Maarouf,
2022103,Tarek Magdi,Arab Contractors Stadium
2022104,Mohamed Youssef,Cairo Military Academy Stadium
2022105,Sobhy El Amrawy,Cairo International Stadium
2022106,Ibrahim Nour Eldin,Alexandria Stadium
2022107,Ahmed Naser,Gehaz El Reyada Stadium
2022108,Ahmed Nagy,El Shorta Stadium
2022109,Mahmoud Nasef,Alexandria Stadium
2022110,Mohamed Maarouf,El Salam Stadium
2022111,Ibrahim Nour Eldin,Borg El Arab Stadium
2022112,Nader Kamar,Mahalla Stadium
2022113,Walid Abdelrazak,Borg El Arab Stadium
2022114,Mohamed Abbas Kabil,Aswan Stadium
2022115,Mohamed El Atbany,Alexandria Stadium
2022116,Mohamed El Hanafy,Ismailia Stadium
2022117,Abdelaziz El Sayed,El Max
2022118,Ibrahim Nour Eldin,Gehaz El Reyada Stadium
2022119,Amr Ayed,Petrosport Stadium
2022120,Mostafa El Shohdi,Arab Contractors Stadium
2022121,Mohamed El Kallawy,El Shorta Stadium
2022122,Amin Omar,30 June Stadium
2022123,Mohamed El Sabahi,
2022124,Ahmed El Ghandour,Arab Contractors Stadium
2022125,Slavko Vincic,Cairo International Stadium
2022126,Walid Abdelrazak,El Salam Stadium
2022127,Mohamed Youssef,Alexandria Stadium
2022128,Tarek Magdi,Aswan Stadium
2022129,Osama Ismail,Arab Contractors Stadium
2022130,Nader Kamar,Alexandria Stadium
2022131,Hesham El Fallal,Suez Stadium
2022132,Abdelaziz El Sayed,Mahalla Stadium
2022133,Mohamed El Hanafy,Alexandria Stadium
2022134,Ahmed El Ghandour,Cairo International Stadium
2022135,Mohamed Salama,Aswan Stadium
2022136,Amin Omar,Ismailia Stadium
2022137,Mohamed El Ghazi,Arab Contractors Stadium
2022138,Ahmed Hamdi,Suez Stadium
2022139,Mahmoud Nagy,Petrosport Stadium
2022140,Sobhy El Amrawy,30 June Stadium
2022141,Mahmoud El Banna,Cairo International Stadium
2022142,Hesham El Kadi,Cairo International Stadium
2022143,Amin Omar,El Max
2022144,Wael Farhan,El Salam Stadium
2022145,Sabry Ibrahim,Mahalla Stadium
2022146,Mohamed El Sabahi,Alexandria Stadium
2022147,Sayed Mounir,Arab Contractors Stadium
2022148,Mohamed El Kallawy,Borg El Arab Stadium
2022149,Mohamed Maarouf,Alexandria Stadium
2022150,Mohamed Adel,Gehaz El Reyada Stadium
2022151,Mohamed El Hanafy,Cairo International Stadium
2022152,Mohamed El Hanafy,El Ahly Stadium
2022153,Ibrahim Mohamed,Borg El Arab Stadium
2022154,Ahmed Gamal,Mahalla Stadium
2022155,Atef Hussein,Alexandria Stadium
2022156,Mostafa Osman,Gehaz El Reyada Stadium
2022157,Mohamed Adel,Suez Canal Authority Stadium
2022158,Ibrahim Nour Eldin,Borg El Arab Stadium
2022159,Wael Farhan,El Salam Stadium
2022160,Abdelaziz El Sayed,30 June Stadium
2022161,Ahmed El Ghandour,Cairo International Stadium
2022162,Mohamed Youssef,El Shorta Stadium
2022163,Mohamed El Hanafy,El Shorta Stadium
2022164,Mahmoud Ashour,Petrosport Stadium
2022165,Mahmoud El Banna,Aswan Stadium
2022166,Nader Kamar,Ismailia Stadium
2022167,Hesham El Fallal,El Max
2022168,Tarek Magdi,Arab Contractors Stadium
2022169,Wael Farhan,Borg El Arab Stadium
2022170,Abdelaziz El Sayed,Cairo International Stadium
2022171,Galal Ahmed,Borg El Arab Stadium
2022172,Ali El Said,Mahalla Stadium
2022173,Amin Omar,Gehaz El Reyada Stadium
2022174,Mohamed El Kallawy,Borg El Arab Stadium
2022175,Walid Abdelrazak,Suez Canal Authority Stadium
2022176,Mohamed Maarouf,Cairo International Stadium
2022177,Mahmoud El Banna,Borg El Arab Stadium
2022178,Mohamed El Sabahi,El Salam Stadium
2022179,Mohamed Adel,30 June Stadium
2022180,Amin Omar,El Max
2022181,Mohamed Salama,El Salam Stadium
2022182,Mahmoud El Banna,Borg El Arab Stadium
2022183,Mohamed Adel,Ismailia Stadium
