match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2020000,Haytham El Fil,,Away,Amr El Halwani,Corner,
2020001,Walter Bwalya,,Away,Mahmoud Shabrawy,Pass,
2020001,Ahmed Samir,,Home,Amr Marei,Penalty,1.0
2020002,Sherif Dabo,,Away,Shady Hussein,Penalty,1.0
2020002,Mahmoud Bolbol,,Away,,Unknown,
2020003,Salah Amin,,Away,Jorginho,Cross,
2020003,Asem Salah,,Home,Mohamed Koffi,Header,
2020004,Abdallah El Said,,Home,Mahmoud Hamada,Cross,
2020004,Amar Hamdy,,Away,Karim Yehia,Pass,
2020004,Khaled El Ghandour,,Away,Semo,Cross,
2020005,Khaled El Husseini,1.0,Away,,Unknown,
2020005,Mostafa Mohamed,,Away,Ferjani Sassi,Pass,
2020007,Ali Maâloul,,Home,Kahraba,Penalty,1.0
2020007,Marwan Hamdi,,Away,Essam Sobhy,Corner,
2020007,Kahraba,,Home,Afsha,Pass,
2020007,Amr El Solia,,Home,Ali Maâloul,Cross,
2020008,Abdelkabir El Ouadi,,Home,Rafik Kabou,Pass,
2020008,Islam Fouad,,Away,Khaled Raslan,Cross,
2020009,Haytham El Fil,,Home,Mahmoud Shabana,Header,
2020009,Ahmed Samir,,Away,Amr Gamal,Pass,
2020009,Mahmoud Shabana,,Home,Amr El Halwani,Free kick,
2020010,Shady Hussein,,Home,,Unknown,
2020010,Fady Farid,,Away,Ahmed Sherwyda,Pass,
2020010,Sherif Dabo,,Home,Mohamed Koffi,Handball ,1.0
2020010,Shady Hussein,,Home,Ahmed Mohsen,Cross,
2020011,Mohamed Helal,,Home,Jorginho,Penalty,1.0
2020011,Haythem Jouini,,Away,Mahmoud Marei,Handball ,
2020011,Salah Amin,,Home,Ahmed Magdy,Pass,
2020012,Ahmed Refaat,,Away,Mohamed Antar,Pass,
2020012,Walter Bwalya,,Home,,Unknown,
2020013,Mohamed Vieira Sanogo,,Away,Basem Morsy,Cross,
2020013,Emad Hamdi,,Home,,Unknown,
2020013,Abdelrahman Magdi,,Home,Fakhreddine Ben Youssef,Cross,
2020013,Mohamed Abdelmaguid,,Away,Alaa Salama,Pass,
2020013,Mohamed Sadek,,Home,Mohamed El Shami,Pass,
2020013,Basem Morsy,,Away,Mohamed El Shebini,Header,
2020014,Ahmed El Sheikh,,Away,Abdallah El Said,Cross,
2020014,Mostafa Mohamed,,Home,Mohamed Ounajem,Cross,
2020015,Kareem Tarek,,Away,Karim Fouad,Cross,
2020016,Hossam Hassan,,Away,Rafik Kabou,Cross,
2020016,Razack Cissé,,Home,Amar Hamdy,Pass,
2020017,Mohamed Sherif,,Home,Ali Maâloul,Pass,
2020017,Kahraba,,Home,Mohamed Sherif,Header,
2020017,Mohamed Sherif,,Home,Afsha,Pass,
2020018,Mohamed Magdy,,Home,Mohamed Methnani,Corner,
2020018,Mohamed Bassiouny,,Home,,Unknown,
2020018,Ahmed Ali,,Home,,Unknown,
2020019,Fakhreddine Ben Youssef,,Away,Ary Papel,Pass,
2020019,Mahmoud Shabrawy,,Home,Mohamed Ragab,Pass,
2020019,Karim El Tayeb,,Home,Mahmoud Shabrawy,Pass,
2020020,Mohamed Antar,,Home,Ahmed Gomaa,Unknown,
2020020,Ahmed Gomaa,,Home,Karim El Eraki,Unknown,
2020020,Omar Kamal,,Home,Ahmed Refaat,Unknown,
2020021,Hesham Balaha,,Away,,Unknown,
2020021,Ramy Sabry,,Home,,Unknown,1.0
2020022,Amr Gamal,,Home,Ahmed Samir,Unknown,
2020022,Mody,,Away,,Unknown,1.0
2020022,Shemeles Bekele,,Away,,Unknown,
2020023,Achraf Bencharki,,Away,,Unknown,1.0
2020023,Ahmed Fatouh,,Away,Youssef Obama,Unknown,
2020024,Kahraba,,Home,Taher Mohamed,Pass,
2020024,Hussein El Shahat,,Home,Ali Maâloul,Pass,
2020024,Mohamed Sherif,,Home,Hussein El Shahat,Pass,
2020024,Akram Tawfik,,Home,Ali Maâloul,Header,
2020025,Ramadan Sobhi,,Home,Abdallah El Said,Unknown,
2020025,Hossam Arafat,,Away,Issahaku Yakubu,Unknown,
2020026,Luis Hinestroza,,Home,Seifeddine Jaziri,Unknown,
2020026,Ahmed Yasser Rayan,,Away,Oufa,Unknown,
2020027,Alexander Jakobsen,,Home,Ahmed Said,Unknown,
2020027,Hossam Hassan,,Away,,Unknown,
2020027,Rafik Kabou,,Away,Mohamed Talaat,Unknown,
2020028,Walter Bwalya,,Away,Allan Kyambadde,Unknown,
2020029,Ahmed El Sheikh,,Home,,Unknown,
2020029,Amr Gamal,,Away,Ahmed Samir,Unknown,
2020029,Mohamed Sami,,Home,Khaled Raslan,Unknown,
2020031,Mohamed Abdelmaguid,,Home,Sayed Shabrawy,Unknown,
2020032,Shemeles Bekele,,Home,Riga,Unknown,
2020032,Omar Kamal,,Away,Ahmed Refaat,Unknown,
2020033,Ali Gabr,,Away,,Unknown,
2020034,Ramy Sabry,,Away,,Unknown,1.0
2020035,Mohamed Sherif,,Away,Ayman Ashraf,Pass,
2020035,Shikabala,,Home,Achraf Bencharki,Pass,
2020035,Mohamed Sherif,,Away,Aliou Dieng,Pass,
2020036,Fakhreddine Ben Youssef,,Away,,Unknown,1.0
2020036,Mohamed Sadek,,Away,,Unknown,
2020037,Joseph Ngwem,,Home,,Unknown,
2020038,Luis Hinestroza,,Home,Mohamed Samir,Unknown,
2020038,Seifeddine Jaziri,,Home,Abdelrahman Farouk,Unknown,
2020039,Omar Kamal,,Home,Ahmed Refaat,Unknown,
2020040,Abdallah El Said,,Home,Mohamed Hamdi,Unknown,
2020040,Moaz El Henawy,,Away,Ahmed Samy,Handball ,1.0
2020040,Mostafa El Gamal,,Away,Basem Morsy,Unknown,
2020040,Ramadan Sobhi,,Home,Abdallah El Said,Unknown,
2020040,Eric Traoré,,Home,Ahmed Samy,Unknown,
2020043,Ahmed Samir,,Home,,Unknown,1.0
2020043,Razack Cissé,,Away,Khaled Kamar,Unknown,
2020043,Romario Williams,,Away,Semo,Unknown,
2020044,Achraf Bencharki,,Away,,Unknown,1.0
2020044,Youssef Obama,,Away,Zizo,Unknown,
2020044,Ramy Sabry,,Home,Salah Rico,Unknown,
2020045,Ahmed Refaat,,Away,,Unknown,1.0
2020045,Mahmoud Rizk,,Home,Khaled El Ghandour,Unknown,
2020047,Mohamed Morsi,,Away,Mohamed Sherif,Unknown,
2020047,Diego Calderón,,Home,,Unknown,1.0
2020047,Mohamed Morsi,,Away,Karim Fouad,Unknown,
2020048,Kahraba,,Away,Afsha,Pass,
2020048,Walid Soliman,,Away,Ali Maâloul,Cross,
2020049,Hesham Mohamed,,Home,Paulin Voavy,Unknown,
2020051,Youssef Obama,,Home,Hazem Emam,Unknown,
2020051,Emam Ashour,,Home,Shikabala,Unknown,
2020051,Emam Ashour,,Home,Zizo,Unknown,
