match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2024000,Mahmoud Saber,,Away,Hossam Hassan,Pass,
2024000,Mohamed Ashraf Roqa,,Home,Mohamed Rabia,Handball ,1.0
2024000,Abdelkabir El Ouadi,,Away,,Unknown,
2024000,Hossam Hassan,,Away,,Unknown,
2024001,Salah Mohsen,,Away,Mohamed Makhlouf,Cross,
2024001,Mahmoud Hamada,,Away,Abderrahim Deghmoum,Pass,
2024004,Emmanuel Apeh,,Away,,Unknown,
2024005,Gabriel Chukwudi,,Away,Rashad El Metwaly,Pass,
2024005,Fiston Mayele,,Home,Sodiq Awujoola,Throw-in,
2024006,Nasser Maher,,Home,Abdallah El Said,Free kick,
2024006,Mohamed Helal,,Away,Yaw Annor,Penalty,1.0
2024006,Nasser Mansy,,Home,Nasser Maher,Cross,
2024006,Mohamed Helal,,Away,Yaw Annor,Penalty,1.0
2024006,Abdallah El Said,,Home,Sayed Abdallah,Handball ,1.0
2024008,Hussein El Shahat,,Home,,Unknown,
2024008,Ahmed Belhadji,,Away,Zalaka,Penalty,1.0
2024008,Wessam Abou Ali,,Home,,Unknown,
2024008,Wessam Abou Ali,,Home,Taher Mohamed,Cross,
2024008,Hussein El Shahat,,Home,Emam Ashour,Pass,
2024008,Taher Mohamed,,Home,Wessam Abou Ali,Pass,
2024008,Ahmed Kendouci,,Away,Islam Issa,Cross,
2024009,Emad Fathi,,Away,Kareem Tarek,Pass,
2024009,Godwin Chika,,Away,,Unknown,1.0
2024009,Mohamed Ali Ben Hammouda,,Home,,Unknown,
2024009,Ahmed El Sheikh,,Away,Ahmed Samir,Pass,
2024009,Mohamed Ali Ben Hammouda,,Home,,Unknown,
2024010,Fady Farid,,Home,Karim El Deeb,Cross,
2024011,Taher Mohamed,,Away,Omar Kamal,Pass,
2024012,Nasser Mansy,,Away,,Unknown,
2024012,Mostafa Shalaby,,Away,Hamza Mathlouthi,Header,
2024013,Ali Zazaa,,Away,,Unknown,
2024013,Badr Mousa,,Home,,Unknown,
2024014,Ahmed Atef,,Away,Mostafa Fathi,Cross,
2024014,Ahmed Atef,,Away,Fiston Mayele,Cross,
2024014,Ali Fawzi,,Home,Mahmoud Marei,Handball ,1.0
2024017,Fagrie Lakay,,Home,Ahmed Belhadji,Pass,
2024018,Ahmed Kalosha,,Away,Mostafa Shakshak,Unknown,
2024018,Amr Nasser,,Home,,Unknown,1.0
2024018,Amr Nasser,,Home,Yassin Marei,Unknown,
2024018,Ali Fawzi,,Away,,Unknown,1.0
2024018,Mahmoud Gehad,,Home,Mohamed Fakhri,Unknown,
2024018,Ahmed Sherif,,Home,,Unknown,
2024018,Ali Fawzi,,Away,,Unknown,1.0
2024019,Mohamed Abdelghani,,Away,Issahaku Yakubu,Unknown,
2024019,Mostafa Fathi,,Home,Marwan Hamdi,Unknown,
2024019,Sodiq Awujoola,,Home,Mostafa Fathi,Unknown,
2024019,Sodiq Awujoola,,Home,,Unknown,
2024020,Amr El Solia,,Home,Taher Mohamed,Penalty,1.0
2024020,Bekale Aubame,,Away,,Unknown,
2024022,Abdo Yehia,,Away,Khaled El Akhmimi,Pass,
2024023,Mohamed El Shami,,Away,Salah Mohsen,Unknown,
2024024,Ali El Malawany,,Home,Khaled Al-Nabris,Cross,
2024027,Abdelrahman El Banouby,,Home,Sameh Ibrahim,Unknown,
2024027,Mostafa Ziko,,Home,Shady Hussein,Unknown,
2024028,Zalaka,,Home,Ahmed Kendouci,Unknown,
2024028,Islam Issa,,Home,Zalaka,Unknown,
2024028,Zalaka,,Home,Islam Issa,Unknown,
2024028,Joseph Ngwem,,Away,,Unknown,
2024028,Zalaka,,Home,Ahmed Kendouci,Unknown,
2024029,Riga,,Away,,Unknown,
2024032,Mostafa Shakshak,,Home,Khaled Ahmed,Pass,
2024033,Mohamed El Shami,,Home,Mohamed Makhlouf,Unknown,
2024034,Mahmoud Gehad,,Away,,Unknown,
2024034,Walid Farag,,Away,,Unknown,
2024034,Rashad El Metwaly,,Home,Gabriel Chukwudi,Penalty,1.0
2024035,Nasser Mansy,,Away,Abdallah El Said,Unknown,
2024035,Nasser Mansy,,Away,,Unknown,
2024035,Zizo,,Away,,Unknown,1.0
2024035,Hossam Abdelmaguid,,Away,,Unknown,
2024036,Badr Mousa,,Away,,Unknown,
2024038,Islam Issa,,Away,Mohamed Adel,Pass,
2024038,Mohamed Adel,1.0,Home,Konrad Michalak,Cross,
2024039,Osama Faisal,,Away,Yaw Annor,Penalty,1.0
2024040,Ali El Zahdi,,Home,Ahmed Hossam,Pass,
2024041,Abdelrahman El Banouby,,Away,Mohamed Ashraf,Free kick,
2024041,Ahmed Sherif,,Home,Jefferson Encada,Pass,
2024041,Shady Hussein,,Away,Mostafa Ziko,Cross,
2024043,Marwan Hamdi,,Home,,Unknown,
2024043,Osama Galal,,Away,Ibrahim Adel,Unknown,
