match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2019000,Seifeddine Jaziri,,Away,Mohamed Salem,Cross,
2019001,Gedo,1.0,Away,Abdelrahman Magdi,Free kick,
2019002,Omar Gaber,,Home,Abdallah El Said,Pass,
2019002,Abdallah El Said,,Home,Mohamed Farouk,Penalty,1.0
2019002,Abdallah El Said,,Home,Ragab Bakar,Pass,
2019002,Mohamed Farouk,,Home,Eric Traoré,Penalty,1.0
2019003,Khalid Aucho,,Away,Hosny Fathi,Cross,
2019003,Mahmoud Naim,,Home,Ahmed El-Saghiri,Pass,
2019003,Ahmed Abdelzaher,,Home,Ahmed El-Saghiri,Cross,
2019003,Amr Marei,,Away,Hosny Fathi,Cross,
2019003,Amr Marei,,Away,Mohamed Ibrahim,Pass,
2019004,Islam Fouad,,Away,Taddeo Lwanga,Unknown,
2019005,Mamadou Ndioko Niass,,Home,Ahmed Shedid Kenawi,Cross,
2019005,Moaz El Henawy,,Home,Ahmed Shedid Kenawi,Penalty,1.0
2019005,Mohamed Ragab,,Home,,Unknown,
2019006,Ahmed Sherwyda,,Away,Anthony Lokosa,Header,
2019006,Austin Amutu,,Home,Ahmed Yasser,Pass,
2019007,Ramadan Sobhi,,Away,Marwan Mohsen,Pass,
2019008,Mostafa Mohamed,,Home,Zizo,Cross,
2019009,Rafik Kabou,,Away,Abdelkabir El Ouadi,Cross,
2019009,Ahmed Said,,Away,Rafik Kabou,Cross,
2019009,Amr El Halwani,,Home,Ahmed Sherwyda,Penalty,1.0
2019009,Ahmed Sherwyda,,Home,Hassan Magdy,Pass,
2019010,Mohamed Sherif,,Home,Ahmed Shokry,Pass,
2019010,Talla Ndiaye,,Away,,Unknown,
2019012,Mahmoud Ezzat,,Away,Fawzi El Henawy,Free kick,
2019012,Taher Mohamed,,Home,Seifeddine Jaziri,Penalty,1.0
2019012,Hossam Hassan,,Away,Nasser Maher,Pass,
2019012,Seifeddine Jaziri,,Home,Abdelrahman Farouk,Cross,
2019013,Mahmoud Rizk,,Home,Khaled El Ghandour,Free kick,
2019014,Saïdou Simporé,,Away,Mahmoud Wadi,Penalty,1.0
2019014,Saïdou Simporé,,Away,Muftah Taktak,Penalty,1.0
2019014,Mohamed El Shami,,Home,,Unknown,
2019014,Ahmed Yasser,,Away,Mahmoud Wadi,Penalty,1.0
2019015,Ramadan Sobhi,,Home,Afsha,Pass,
2019015,Hussein El Shahat,,Home,Ramadan Sobhi,Pass,
2019015,Junior Ajayi,,Home,Ali Maâloul,Pass,
2019015,Walid Soliman,,Home,Hussein El Shahat,Pass,
2019016,Ibrahim Hassan,,Away,Abdallah El Said,Unknown,
2019016,Abdallah El Said,,Away,Amor Layouni,Pass,
2019016,Abdelrahman El Dah,,Home,,Unknown,1.0
2019017,Zizo,,Away,Ferjani Sassi,Pass,
2019018,Nasser Maher,,Home,Fawzi El Henawy,Pass,
2019018,Mohamed Sherif,,Away,Omar Saviola,Penalty,1.0
2019018,Hossam Hassan,,Home,Ahmed Fatouh,Pass,
2019019,Junior Ajayi,,Away,Afsha,Free kick,
2019019,Hussein El Shahat,,Away,Junior Ajayi,Unknown,
2019019,Hamdy Fathy,,Away,Afsha,Corner,
2019019,Afsha,,Away,Afsha,Penalty,1.0
2019019,Oumed Oukri,,Home,Elhusseini Samir,Cross,
2019019,Ramadan Sobhi,,Away,Ali Maâloul,Pass,
2019020,Benson Shilongo,,Away,Mohamed Hamdi,Pass,
2019021,Mohamed Salem,,Away,,Unknown,
2019022,Mahmoud Rizk,,Away,Ahmed Refaat,Corner,
2019023,Hosny Fathi,1.0,Home,Ahmed Magdy,Unknown,
2019024,Eric Traoré,,Away,Mohamed Farouk,Pass,
2019024,Talla Ndiaye,,Home,Nasser Mansy,Pass,
2019024,Kareem Tarek,,Home,Ahmed Daouda,Pass,
2019024,Mohamed Farouk,,Away,Abdallah El Said,Cross,
2019025,Amr El Halwani,,Home,,Unknown,
2019025,Abdelrahman El Dah,,Away,Islam Fouad,Unknown,
2019026,Achraf Bencharki,,Home,Youssef Obama,Pass,
2019026,Omar El Habashi,,Away,Islam Saleh,Pass,
2019028,Mohamed Ragab,,Away,Mohamed Vieira Sanogo,Unknown,
2019029,Salah Amin,,Home,Mohamed Mosaad,Penalty,1.0
2019031,Marwan Hamdi,,Away,Abdelkabir El Ouadi,Pass,
2019031,Khaled Kamar,,Home,,Unknown,
2019032,Amr El Halwani,,Away,,Unknown,
