match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2016000,Basem Eid,,Home,Mohamed Rizk,Penalty,1.0
2016000,Mohab Said,,Home,Omar Bassam,Pass,
2016001,Haytham El Fil,1.0,Away,Amr El Halwani,Free kick,
2016001,Joël Lamah,,Away,Mario Martínez,Cross,
2016001,Mario Martínez,,Away,Amr Marei,Cross,
2016001,Joël Lamah,,Away,Abdallah Gomaa,Pass,
2016002,Sayed Farid,,Away,Omar Saad,Corner,
2016002,Hossam Paulo,,Away,Ahmed Raouf,Cross,
2016002,Kenneth Ngwoke,,Home,Ali Afifi,Header,
2016003,Mohamed Shahin,,Home,Osama Mohamed,Cross,
2016004,Kabongo Kasongo,,Home,Mahmoud Shaaban,Cross,
2016004,Ahmed Ali,,Away,Ahmed Ali,Cross,
2016004,Mohamed Adel,,Home,,Unknown,
2016004,Ahmed El Sheikh,,Home,,Unknown,
2016005,Ahmed Abdelzaher,,Home,Ahmed El Sheikh,Cross,
2016005,Ahmed El Sheikh,,Home,Hossam Ghaly,Handball ,1.0
2016005,Asem Said,,Home,Hesham Mohamed,Free kick,
2016006,Ahmed Eid,,Home,Ahmed Sabry,Cross,
2016006,Mohamed Ashraf,,Home,,Unknown,
2016006,Ahmed Samir,,Away,Ahmed Shokry,Free kick,
2016007,Abdallah El Said,,Home,Amr Gamal,Penalty,1.0
2016008,Basem Morsy,,Away,Mohamed Ibrahim,Cross,
2016009,Mahmoud Shaker,,Home,Mohamed Morsi,Penalty,1.0
2016010,Hosny Abd Rabo,,Home,Torric Jebrin,Penalty,1.0
2016011,Mohamed Naguib,,Away,Ali Maâloul,Corner,
2016011,Abdallah El Said,,Away,Ahmed Fathi,Cross,
2016012,Benjamin Acheampong,,Home,Ahmed Samir Farag,Corner,
2016012,Osama Mohamed,,Away,Mohamed Shahin,Penalty,1.0
2016013,Amr Marei,,Home,Mario Martínez,Pass,
2016013,Hossam Hassan,,Away,Kenneth Ngwoke,Penalty,1.0
2016013,Kenneth Ngwoke,,Away,Yaya Traoré,Pass,
2016013,Amr El Halwani,,Home,Amr Marei,Cross,
2016014,Ahmed Kaboria,,Home,Ahmed Shokry,Pass,
2016014,Onosh,,Home,Mohamed Hamdi,Unknown,
2016015,Hossam Arafat,,Home,Boubacar Diarra,Pass,
2016016,Hossam Hassan,,Home,,Unknown,
2016016,Hossam Paulo,,Home,Mahmoud Sayed,Cross,
2016017,Basem Morsy,,Home,Ayman Hefny,Penalty,1.0
2016017,Basem Morsy,,Home,,Unknown,
2016017,Mostafa Fathi,,Home,Ahmed Refaat,Pass,
2016018,Hossam Paulo,,Home,Ayman Ashraf,Corner,
2016018,Mohamed Gaber,,Away,,Unknown,
2016018,Mahmoud Shaker,,Away,Mohamed Morsi,Penalty,1.0
2016018,Mahmoud Sayed,,Home,Ahmed Temsah,Pass,
2016018,Hossam Paulo,,Home,Hossam Ghaly,Handball ,1.0
2016019,Ahmed Gomaa,,Away,Hamada Tolba,Cross,
2016020,Karim Nedved,,Home,,Unknown,
