match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2018045,Salah Amin,,Away,Mohamed Hammam,Pass,
2018045,Halimo,,Away,Ahmed Ayman,Corner,
2018045,Haggag Oweis,,Home,Mohamed Grendo,Pass,
2018046,Mohamed Vieira Sanogo,,Away,,Unknown,
2018046,Mahmoud Kabonga,,Home,,Unknown,
2018046,Mohamed Ragab,,Home,,Unknown,
2018047,Khaled Kamar,,Away,,Unknown,
2018047,Mostafa Gamal,,Home,Mahmoud Abdallah,Penalty,1.0
2018048,Ahmed Ali,,Home,Mohamed Magli,Unknown,
2018048,Ahmed Ali,,Home,Taher Mohamed,Unknown,
2018048,Benson Shilongo,,Away,Ahmed Manga,Unknown,
2018049,Ouka,,Away,Ahmed Ali,Unknown,
2018049,Keno,,Home,Nasser Mansy,Pass,
2018050,Riga,,Away,Salah Ashour,Pass,
2018050,Eric Traoré,,Away,Salah Ashour,Unknown,
2018050,Mahmoud Marei,,Home,Elsayed Salem,Free kick,
2018051,Christopher Mendouga,,Home,,Unknown,
2018051,Mohamed Ashraf Roqa,,Away,Mohamed Bassiouny,Pass,
2018051,Richard Baffour,,Home,,Unknown,
2018051,Mahmoud Kaoud,,Away,Amr El Halwani,Cross,
2018051,Christopher Mendouga,,Home,Mohamed Sadek,Cross,
2018052,Mahmoud Alaa,,Home,Ibrahim Hassan,Unknown,
2018052,Mahmoud Alaa,,Home,Mohamed Ibrahim,Unknown,
2018052,Mahmoud Alaa,,Home,Mahmoud Abdelaziz,Unknown,
2018053,Ahmed El Sheikh,,Away,Nasser Maher,Pass,
2018053,Hossam Paulo,,Home,,Unknown,
2018053,Hussein Ragab,,Home,Hossam Paulo,Pass,
2018053,Ayman Ashraf,,Away,Marwan Mohsen,Header,
2018054,Hossam Paulo,,Away,Mostafa Kalosha,Cross,
2018054,Shemeles Bekele,,Home,Ahmed Zola,Penalty,1.0
2018055,Khaled Kamar,,Home,Razack Cissé,Pass,
2018055,Mohamed Ragab,,Away,Ahmed Shedid Kenawi,Corner,
2018056,Keno,,Away,,Unknown,
2018057,Paulin Voavy,,Home,John Antwi,Pass,
2018057,John Antwi,,Home,Ahmed Mohsen,Cross,
2018057,Eric Traoré,,Home,Omar Bassam,Pass,
2018058,Ahmed Kaboria,,Home,Kareem Tarek,Cross,
2018058,Talla Ndiaye,,Home,Mohamed Rizk,Pass,
2018058,Kareem Tarek,,Home,Talla Ndiaye,Pass,
2018059,Youssef Obama,,Away,Kahraba,Pass,
2018059,Hossam Hassan,,Home,Sherif Reda,Cross,
2018060,Elsayed Salem,,Away,,Unknown,
2018061,Odah Marshal,,Home,Hamdy Fathy,Pass,
2018061,Ahmed Gomaa,,Away,Ahmed Gomaa,Penalty,1.0
2018061,Islam Issa,,Away,,Unknown,
2018061,Mahmoud Wadi,,Away,Islam Issa,Pass,
2018062,Mohamed Nadi,,Away,Chisom Elvis Chikatara,Pass,
2018062,Ahmed El Sheikh,,Home,Marwan Mohsen,Header,
2018062,Ahmed Ali,1.0,Home,Walid Soliman,Corner,
2018063,Hossam Paulo,,Home,Hussein Ragab,Cross,
2018063,Hossam Paulo,,Home,Islam Gaber,Pass,
2018063,Ahmed Ouka,,Home,Hossam Paulo,Pass,
2018064,Paulin Voavy,,Away,Salah Ashour,Pass,
2018064,Mohamed Adel,,Home,Mahmoud Hamada,Cross,
2018064,John Antwi,,Away,Salah Rico,Cross,
2018065,Islam Roshdi,,Away,,Unknown,
2018065,Ahmed Eid,,Away,Islam Roshdi,Penalty,1.0
2018065,Shemeles Bekele,,Home,,Unknown,
2018066,Lassad Jaziri,,Home,Christopher Mendouga,Pass,
2018066,Tarek Taha,1.0,Away,Mohamed Hamdi,Cross,
2018066,Benson Shilongo,,Away,Mahmoud Mansour,Pass,
2018066,Sayed Farid,,Away,Mahmoud Moaaz,Free kick,
2018067,Moses Odo,,Home,Abdallah Gomaa Awad,Cross,
2018068,Mahmoud Alaa,,Home,Ibrahim Adel,Handball ,1.0
2018068,Islam Fouad,,Away,Taher Mohamed,Header,
2018068,Youssef Obama,,Home,Omar El Said,Header,
2018069,Mohamed Bassiouny,,Away,,Unknown,
2018069,Odah Marshal,,Away,Abdelaziz El Balouti,Unknown,
2018069,Mahmoud Marei,,Home,Elsayed Salem,Cross,
2018070,Mahmoud Wadi,,Home,Ahmed Hamed Shousha,Unknown,
2018070,Mohamed Rizk,,Away,Kareem Tarek,Pass,
2018071,Walid Azaro,,Away,Ali Maâloul,Cross,
2018071,Mohamed Farouk,,Home,Abdallah El Said,Free kick,
2018071,Abdallah El Said,,Home,Keno,Pass,
2018072,Mohamed Ragab,,Away,Moussa Diawara,Unknown,
2018073,Hossam Paulo,,Away,Hussein Ragab,Pass,
2018075,Karim El Deeb,,Home,,Unknown,
2018075,Ahmed Ali,,Away,Joseph Ngwem,Free kick,
2018075,Gedo,,Home,Ahmed Elalfi,Cross,
2018076,Mohamed Rizk,,Home,Mostafa Mohamed,Penalty,1.0
2018076,Osama Azab,,Away,Mohamed Reda,Header,
2018076,Mohamed Mahmoud,,Away,Elsayed Salem,Corner,
2018077,Ahmed El Sheikh,,Away,Walid Soliman,Corner,
2018079,Ahmed El Shimi,,Home,Mohamed Talaat,Pass,
2018079,Ibrahim Adel,1.0,Away,Tarek Taha,Unknown,
2018079,Benson Shilongo,,Away,Mohamed Sadek,Pass,
2018080,Ferjani Sassi,,Home,,Unknown,
2018080,Eric Traoré,,Away,Ragab Bakar,Unknown,
2018080,Keno,,Away,Abdallah El Said,Cross,
2018080,Mahmoud Alaa,,Home,Ferjani Sassi,Header,
2018080,Ferjani Sassi,,Home,Kahraba,Corner,
2018080,Omar Khribin,,Away,Keno,Corner,
2018081,Shemeles Bekele,,Away,Mohamed Vieira Sanogo,Cross,
2018081,Ragab Bakar,,Home,Afsha,Cross,
2018081,Mohamed Farouk,,Home,Hamada Tolba,Pass,
2018081,Keno,,Home,Afsha,Pass,
2018081,Shemeles Bekele,,Away,Mohamed Vieira Sanogo,Pass,
2018081,Ahmed El Sebai,,Away,Hamada Tolba,Handball ,1.0
2018082,Ahmed Sherwyda,,Away,Amr El Sisi,Pass,
2018082,Hossam Paulo,,Home,Ahmed Ouka,Pass,
2018082,Mostafa El Sayed,,Away,,Unknown,
2018083,Amr El Halwani,,Away,,Unknown,
2018083,Karim Lala,,Home,James Owoboskini,Unknown,
