match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2017000,Ahmed Samir Farag,,Home,Mohamed Dabash,Handball ,1.0
2017000,Gehad Genadi,1.0,Away,,Unknown,
2017001,Ahmed Ali,,Home,Shokry Naguib,Header,
2017001,Shokry Naguib,,Home,Mohamed Farouk,Cross,
2017001,Mohamed Farouk,,Home,Mohamed Farouk,Penalty,1.0
2017003,Ahmed Elalfi,,Home,Mohamed Osama,Pass,
2017003,Camacho,,Home,Mohamed Osama,Pass,
2017003,Diego Calderón,,Away,Bahaa Magdy,Unknown,
2017003,Moussa Camara,,Away,Ibrahim Hassan,Pass,
2017003,Richard Baffour,,Away,Hosny Abd Rabo,Free kick,
2017003,Ibrahim Hassan,,Away,Diego Calderón,Pass,
2017004,Omar El Said,,Home,,Unknown,
2017004,Kabongo Kasongo,,Away,,Unknown,
2017005,Mohamed Tarek,,Home,,Unknown,
2017005,John Antwi,,Away,Hussein El Shahat,Cross,
2017006,Ahmed Gomaa,,Home,,Unknown,1.0
2017007,Asem Salah,,Away,Amr El Solia,Handball ,1.0
2017007,Ahmed El Sheikh,,Home,,Unknown,
2017008,Oumed Oukri,,Away,Ragab Bakar,Unknown,
2017008,Hamdy Fathy,,Home,Ramy Sabry,Unknown,
2017009,Aristide Bancé,,Away,Mostafa Shebeita,Handball ,1.0
2017010,Omar El Said,,Away,Ahmed Shedid Kenawi,Pass,
2017010,Asem Salah,,Home,Mohamed Ashraf,Pass,
2017010,Mohamed Khalifa,,Away,Abdelrahman Farouk,Cross,
2017010,Jérôme Ouiya,,Home,Mahmoud Hamad,Pass,
2017011,Mohamed Antar,,Away,Omar Bassam,Header,
2017011,Omar Bassam,,Away,,Unknown,
2017012,Hossam Paulo,,Away,Khaled El Ghandour,Pass,
2017012,Mohamed Said,,Home,Mohamed Hassan,Pass,
2017012,Mohamed Hassan,,Home,Mohamed Said,Penalty,1.0
2017012,Mohamed Ali Moncer,,Away,,Unknown,
