match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2021000,Moussa Diawara,,Home,Mahmoud Sayed,Pass,
2021000,Mohamed Helal,,Home,Mahmoud Kaoud,Pass,
2021000,Mohamed Helal,,Home,Issahaku Yakubu,Pass,
2021001,Sodiq Awujoola,,Home,Marwan Hamdi,Pass,
2021001,Marwan Hamdi,,Home,,Unknown,
2021001,Mohamed Shokry,,Home,,Unknown,
2021001,Karim El Deeb,,Away,Mohamed Shokry,Handball ,1.0
2021001,Hussein Faisal,,Home,Abdelkabir El Ouadi,Pass,
2021001,Fawzi El Henawy,,Away,Saïdou Simporé,Cross,
2021001,Saïdou Simporé,,Away,Khaled El Ghandour,Penalty,1.0
2021001,Mabululu,,Away,Marwan Ateya,Cross,
2021002,Aymen Sfaxi,,Home,Ahmed Refaat,Pass,
2021003,John Okoli,,Home,Abdallah Yaisien,Pass,
2021004,Seif Teka,,Away,Sherif Dabo,Unknown,
2021004,Khaled Kamar,,Home,,Unknown,
2021005,Zizo,,Home,Youssef Obama,Penalty,1.0
2021005,Omar El Said,,Home,Zizo,Cross,
2021006,Walid El Karti,,Home,Mohamed Hamdi,Free kick,
2021006,Eric Serge,,Away,Hossam Abdelwahed,Pass,
2021006,Walid El Karti,,Home,Abdallah El Said,Cross,
2021007,Ali Maâloul,,Away,Luís Miquissone,Penalty,1.0
2021007,Percy Tau,,Away,Afsha,Header,
2021007,Percy Tau,,Away,Afsha,Cross,
2021007,Ahmed Abdelkader,,Away,Hussein El Shahat,Pass,
2021008,Hesham Balaha,,Home,Abdo Yehia,Header,
2021008,Mohamed Antar,,Away,Elyes Jelassi,Free kick,
2021009,Mabululu,,Home,Saïdou Simporé,Pass,
2021009,Ahmed Refaat,,Away,Omar Saviola,Free kick,
2021009,Ahmed Refaat,,Away,Marwan Mohsen,Pass,
2021009,Damion Lowe,,Home,Ahmed Manga,Free kick,
2021009,Mabululu,,Home,Khaled El Ghandour,Penalty,1.0
2021010,John Ebuka,,Home,Salah Rico,Cross,
2021010,John Ebuka,,Home,Mostafa Shalaby,Penalty,1.0
2021010,Dinopeter Airaodion,,Home,John Ebuka,Pass,
2021010,Mohamed Samir,,Away,Omar Bassam,Penalty,1.0
2021010,Mohamed Salem,,Away,Luis Hinestroza,Pass,
2021011,Essam Sobhy,1.0,Home,Sherif Dabo,Free kick,
2021011,Benson Shilongo,,Away,Mohamed Sadek,Pass,
2021011,Shady Hussein,,Home,,Unknown,
2021012,Karim Halawa,,Home,Eric Serge,Pass,
2021012,Ahmed Sabeha,,Home,Said El Wensh,Cross,
2021013,Zizo,,Away,Omar El Said,Penalty,1.0
2021013,Omar El Said,,Away,Zizo,Cross,
2021014,Mahmoud Wadi,,Away,,Unknown,
2021014,Abdallah El Said,,Away,Eric Traoré,Penalty,1.0
2021014,Ramy Sabry,,Home,Azmi Ghouma,Penalty,1.0
2021015,Mohamed Sherif,,Home,,Unknown,
2021017,Abdo Yehia,,Away,Ahmed Afifi,Pass,
2021017,Ahmed Ghoneim,,Away,,Unknown,
2021017,Ahmed Meteb,,Home,Alaa Abbas,Pass,
2021017,Hesham Balaha,,Away,Kamal Aboul-Fetouh,Handball ,1.0
2021017,Mohamed Hassan,,Home,,Unknown,
2021020,Mahmoud Shabrawy,,Home,Shemeles Bekele,Cross,
2021021,Mohamed Samir,,Home,,Unknown,
2021021,Ali Elfil,,Away,Karim El Tayeb,Penalty,1.0
2021022,Mahmoud Wadi,,Home,,Unknown,
2021022,Abdallah El Said,,Home,Mohamed Hamdi,Penalty,1.0
2021022,Ibrahim Adel,,Home,Ramadan Sobhi,Pass,
2021023,Marwan Hamdi,,Home,Hussein Faisal,Cross,
2021023,Marwan Hamdi,,Home,,Unknown,
2021023,Sodiq Awujoola,,Home,Abdelrahman Amer,Pass,
2021024,Abdo Yehia,,Home,Paulin Voavy,Unknown,
2021024,Salah Rico,1.0,Home,,Unknown,
2021024,Ahmed Ghoneim,,Home,Ehab Samir,Penalty,1.0
2021025,Marwan Mohsen,,Home,Joseph Ngwem,Pass,
2021025,Hassan Ali,,Away,Ahmed El Sheikh,Penalty,1.0
2021026,Gabaski,1.0,Away,,Unknown,
2021026,Ali Maâloul,,Away,Ali Maâloul,Penalty,1.0
2021026,Mohamed Sherif,,Away,Amr El Solia,Cross,
2021026,Mostafa Fathi,,Home,Achraf Bencharki,Pass,
2021026,Aliou Dieng,,Away,Afsha,Corner,
2021026,Ali Maâloul,,Away,Amr El Solia,Penalty,1.0
2021026,Zizo,,Home,Seifeddine Jaziri,Penalty,1.0
2021026,Achraf Bencharki,,Home,Seifeddine Jaziri,Pass,
