match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2022000,Austin Amutu,,Away,Sabri Rahil,Cross,
2022001,Karim Bambo,,Home,,Unknown,
2022001,Mody,,Away,,Unknown,1.0
2022002,Mido Gaber,,Away,Mohamed Shokry,Corner,
2022002,John Ebuka,,Away,Mohamed Ibrahim,Pass,
2022002,Ahmed Yasser Rayan,,Away,John Ebuka,Pass,
2022003,Mostafa Fathi,,Away,Fakhreddine Ben Youssef,Pass,
2022003,Rafik Kabou,,Home,,Unknown,
2022004,Shady Hussein,,Away,Karim Fouad,Pass,
2022005,Sherif Reda,1.0,Home,Shikabala,Unknown,
2022005,Samson Akinyoola,,Home,,Unknown,
2022006,Fady Farid,,Home,Mamadou Ndioko Niass,Header,
2022006,Ahmed El Sheikh,,Away,,Unknown,
2022007,Omar El Said,,Away,Mahmoud Marei,Pass,
2022007,Hadji Barry,,Away,Nasser Maher,Pass,
2022010,Seifeddine Jaziri,,Away,Emam Ashour,Cross,
2022010,Ahmed Fatouh,,Away,Amr El Sisi,Pass,
2022011,Ali Maâloul,,Home,Shady Hussein,Penalty,1.0
2022012,Ahmed El Sheikh,,Home,Mohamed Bazoka,Unknown,
2022012,Gabriel Orok,,Home,Paulin Voavy,Unknown,
2022012,Hazem Morsy,,Away,Abdelrahman Magdi,Unknown,
2022013,Ibrahim Hassan,,Home,Ahmed Adel,Cross,
2022013,Austin Amutu,,Home,Sabri Rahil,Pass,
2022015,Mohamed Helal,,Away,,Unknown,1.0
2022015,Sodiq Awujoola,,Home,Dokou Dodo,Unknown,
2022016,Rafik Kabou,,Away,Ali Fawzi,Cross,
2022016,Khaled Kamar,,Home,,Unknown,
2022016,Khaled Kamar,,Home,Mostafa El Khawaga,Cross,
2022017,Ahmed Sherif,,Home,Mahmoud Hamada,Pass,
2022018,Ahmed El Sheikh,,Away,,Unknown,
2022019,Marwan Hamdi,,Home,Ahmed El Sheikh,Unknown,
2022019,Abderrahim Deghmoum,,Home,Marwan Hamdi,Unknown,
2022020,Kareem Tarek,,Away,,Unknown,
2022020,Mabululu,,Home,,Unknown,
2022020,Khaled Sobhi,,Home,,Unknown,
2022020,Marwan Ateya,,Home,Mabululu,Pass,
2022023,Ragab Nabil,1.0,Home,,Unknown,
2022023,Karim Bambo,,Home,Razack Cissé,Unknown,
2022023,Razack Cissé,,Home,,Unknown,
2022023,Ragab Nabil,,Away,Mohamed Ibrahim,Unknown,
2022024,Mohamed Sherif,,Away,Karim Fouad,Pass,
2022024,Hamdy Fathy,,Away,,Unknown,
2022024,Funom Alfred,,Home,,Unknown,
2022024,Karim Fouad,,Away,Afsha,Pass,
2022024,Karim Fouad,,Away,Afsha,Pass,
2022025,Mostafa Shalaby,,Home,Zizo,Corner,
2022027,Zizo,,Away,Mostafa Shalaby,Penalty,1.0
2022027,Ahmed Kalosha,,Home,Mohamed Hamdi,Corner,
2022028,Rezki Hamroune,,Home,,Unknown,
2022028,Basem Morsy,,Away,Saleh Gomaa,Cross,
2022029,Ahmed Belhadji,,Away,Gedo,Penalty,1.0
2022029,Ahmed Atef,,Home,Basem Ali,Unknown,
2022029,Mohanad Lasheen,,Home,Ahmed Atef,Penalty,1.0
2022030,Mostafa Fathi,,Home,Fagrie Lakay,Pass,
2022030,Mahmoud Saber,,Home,Fagrie Lakay,Pass,
2022031,Ahmed El Sheikh,,Home,Momen Atef,Handball ,1.0
2022031,Samir Fekri,,Away,Walid Mostafa,Pass,
2022031,Moaz El Henawy,,Home,Allan Kyambadde,Handball ,1.0
2022032,Khaled Kamar,,Home,,Unknown,
2022032,Kareem Tarek,,Home,Khaled Kamar,Unknown,
2022032,Mohamed Grendo,,Away,Amr Marei,Unknown,
2022032,Mohamed Shehata,,Home,,Unknown,
2022034,Ahmed Yasser Rayan,,Home,Mohamed Shokry,Corner,
2022034,Amr Kalawa,,Home,Canaria,Pass,
2022034,Mostafa Ziko,,Away,Mahmoud Benwali,Header,
2022035,Percy Tau,,Home,,Unknown,
2022035,Yasser Ibrahim,,Home,Ali Maâloul,Free kick,
2022035,Akram Tawfik,,Home,Afsha,Cross,
2022036,Fagrie Lakay,,Away,Ibrahim El Kadi,Handball ,1.0
2022037,Rafik Kabou,,Away,,Unknown,
2022037,Youssef Labib,,Away,Rafik Kabou,Unknown,
2022037,Mohamed Abdelaati,,Away,Ahmed Youssef,Unknown,
2022037,Mahmoud Kaoud,,Home,,Unknown,
2022037,Mohamed Helal,,Home,,Unknown,1.0
2022038,Paulin Voavy,,Away,Mohamed Gaber,Unknown,
2022038,Ahmed El Sheikh,,Away,Abdo Yehia,Unknown,
2022039,Ahmed Belhadji,,Home,Gedo,Unknown,
2022040,Joseph Ngwem,,Away,,Unknown,
2022041,Emam Ashour,,Home,Zizo,Pass,
2022041,Abderrahim Deghmoum,,Away,Imadeddine Boubekeur,Header,
2022041,Amr El Sisi,,Home,Zizo,Cross,
2022041,Ahmed El Sheikh,,Away,Abderrahim Deghmoum,Pass,
2022042,Alia Sylla,,Away,,Unknown,
2022043,Gebna,,Home,,Unknown,
