match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2023000,Youssry Wahid,,Home,Ahmed Meteb,Cross,
2023000,Abdelrahman Shika,,Home,Islam Mohareb,Pass,
2023001,Mostafa Saad,,Home,,Unknown,
2023002,Reda Slim,,Home,Emam Ashour,Pass,
2023002,Percy Tau,,Home,Mohamed Hany,Pass,
2023002,Percy Tau,,Home,Emam Ashour,Pass,
2023002,Karim Fouad,,Home,Ahmed Abdelkader,Pass,
2023003,Zizo,,Home,,Unknown,
2023004,Abdo Semana,,Away,Hossam Ashraf,Penalty,1.0
2023004,Hossam Ashraf,,Away,Favour Akem,Pass,
2023005,Fady Farid,,Home,Mostafa El Badry,Cross,
2023005,Ahmed Belhadji,,Away,Ashraf Magdy,Penalty,1.0
2023006,Ahmed Atef,,Away,Basem Ali,Pass,
2023006,Mahmoud Rizk,,Away,,Unknown,
2023007,Mabululu,,Home,Salifu Moro,Header,
2023008,Abdallah El Said,,Home,,Unknown,
2023008,Nabil Dunga,,Away,,Unknown,
2023008,Ibrahima Ndiaye,,Away,Mostafa Shalaby,Corner,
2023008,Ramadan Sobhi,,Home,Walid El Karti,Header,
2023009,Ibrahim Adel,,Away,Mohamed Chibi,Cross,
2023010,Youssef Obama,,Home,Zizo,Header,
2023010,Ahmed Alaa,,Away,Islam Abdelnaim,Pass,
2023011,Ahmed Khaled,,Away,Mahmoud Wahid,Throw-in,
2023011,Amr Kalawa,,Away,Fady Farid,Penalty,1.0
2023012,Allan Kyambadde,,Away,Mohamed Osama,Pass,
2023012,Omar Kamal,,Home,,Unknown,
2023012,Ahmed Refaat,,Home,Abdelkabir El Ouadi,Penalty,1.0
2023014,Yasser Ibrahim,,Away,Ahmed Abdelkader,Pass,
2023014,Ahmed Kendouci,,Home,Mohamed Ibrahim,Pass,
2023014,Afsha,,Away,Karim Fouad,Cross,
2023015,Mohamed Samir,,Away,Abdallah Magdy,Penalty,1.0
2023016,Mido Gaber,,Home,Mohamed El Shami,Pass,
2023017,Hamdi Nagguez,,Home,Yaw Annor,Penalty,1.0
2023017,Mabululu,,Away,Karim El Deeb,Cross,
2023017,Abdelrahman Magdi,,Home,Eyad El Askalany,Cross,
2023017,Yaw Annor,,Home,Hamdi Nagguez,Cross,
2023018,Favour Akem,,Away,Islam Marzouk,Pass,
2023018,Mostafa Ziko,,Home,Mahmoud Saber,Pass,
2023018,Mostafa Ziko,,Home,Shady Hussein,Pass,
2023018,Hossam Ashraf,,Away,Favour Akem,Pass,
2023018,Shady Hussein,,Home,Mohamed Ashraf,Corner,
2023018,Abdo Semana,,Away,Favour Akem,Penalty,1.0
2023019,Mostafa El Badry,,Home,,Unknown,
2023019,Joseph Ochaya,,Away,Mohamed Salem,Penalty,1.0
2023019,Fady Farid,,Home,Ahmed El Shimi,Handball ,1.0
2023020,Ahmed Belhadji,,Away,,Unknown,1.0
2023020,Ahmed Belhadji,,Away,Ayman Mukka,Pass,
2023020,Mabululu,,Home,Omar El Wahsh,Pass,
2023020,Mabululu,,Home,Riga,Penalty,1.0
2023021,John Ebuka,,Away,Sodiq Awujoola,Unknown,
2023021,Ahmed Kendouci,,Away,Sodiq Awujoola,Unknown,
2023021,Walid Farag,,Home,Mohamed Fakhri,Unknown,
2023021,Saif Thierry,,Home,Ahmed Fouad,Unknown,
2023022,Mido Gaber,,Away,,Unknown,
2023022,Marwan Hamdi,,Away,,Unknown,
2023022,Baher El Mohamady,,Away,Elyes Jelassi,Unknown,
2023022,Ehab Samir,,Home,Anas Shendy,Unknown,
2023023,Karim Bambo,,Home,Ahmed Madbouli,Unknown,
2023023,Zizo,,Away,Mostafa El Zenary,Unknown,
2023023,Shikabala,,Away,Omar Gaber,Unknown,
2023024,Omar Kamal,,Away,Nasser Maher,Unknown,
2023024,Marwan Mohsen,,Away,Abdelkabir El Ouadi,Unknown,
2023025,Percy Tau,,Home,Hussein El Shahat,Unknown,
2023025,Hussein El Shahat,,Home,Ahmed Kouka,Pass,
2023025,Percy Tau,,Home,Taher Mohamed,Cross,
2023025,Yaw Annor,,Away,,Unknown,
2023026,Fiston Mayele,,Home,Mohamed Hamdi,Cross,
2023027,Fakhreddine Ben Youssef,,Home,Mohamed El Shami,Unknown,
2023028,Zalaka,,Home,Ahmed Kendouci,Unknown,
2023028,Mohamed Ibrahim,,Home,,Unknown,1.0
2023028,Ahmed Kendouci,,Home,Mohamed Ibrahim,Unknown,
2023028,Ahmed Kendouci,,Home,Sodiq Awujoola,Unknown,
2023029,Hossam Ashraf,,Home,Hossam Hassan,Unknown,
2023029,Hossam Ashraf,,Home,Mohamed Ashraf,Unknown,
2023029,Benjamin Bernard Boateng,,Away,Ahmed Adel,Unknown,
2023029,Islam Abou-Salima,,Away,Omar El Wahsh,Unknown,
2023030,Mostafa Shalaby,,Home,Omar Gaber,Unknown,
2023030,Zizo,,Home,Mostafa Shalaby,Unknown,
2023030,Youssef Obama,,Home,Shikabala,Unknown,
2023030,Fady Farid,,Away,Mahmoud Wahid,Unknown,
2023030,Seifeddine Jaziri,,Home,,Unknown,
2023030,Shikabala,,Home,Ahmed Fatouh,Unknown,
2023031,Ahmed Kalosha,,Home,,Unknown,
2023031,Ahmed Sabeha,1.0,Away,,Unknown,
2023031,Ziad Kamal,,Home,,Unknown,1.0
2023031,Mody Naser,,Home,Ahmed Nader Hawash,Unknown,
2023032,Joseph Ochaya,,Home,,Unknown,1.0
2023032,Mohamed Salem,,Home,Mamadou Ndioko Niass,Unknown,
2023032,Mahmoud Saber,,Away,,Unknown,1.0
2023032,Mostafa Ziko,,Away,,Unknown,1.0
2023032,Rafaat Khalil,,Away,,Unknown,1.0
2023032,Ahmed Fawzi,,Home,Bibo Ahmed Hassan,Unknown,
2023033,Rezki Hamroune,,Away,Ahmed Sherif,Unknown,
2023034,Mohamed Abdelsalam,1.0,Away,Walid El Karti,Cross,
2023035,Anthony Modeste,,Away,Taher Mohamed,Cross,
2023035,Ahmed Belhadji,,Home,Mohamed Hany,Handball ,1.0
2023036,Fiston Mayele,,Home,Mohamed Chibi,Cross,
2023036,Mostafa Fathi,,Home,Mohamed Hamdi,Cross,
2023036,Mohamed El Shami,,Away,Listowell Amankona,Cross,
2023036,Fiston Mayele,,Home,Walid El Karti,Pass,
2023036,Ghiles Guenaoui,,Away,Listowell Amankona,Pass,
2023037,Ziad Kamal,,Home,Oufa,Pass,
2023037,Zizo,,Away,Zizo,Penalty,1.0
2023037,Oufa,,Home,Ali Fawzi,Corner,
2023038,Ahmed Belhadji,,Away,Ayman Mukka,Unknown,
2023039,Mostafa Ziko,,Home,,Unknown,
2023039,Amr Kalawa,,Away,,Unknown,1.0
2023040,Ahmed Alaa,,Away,Amar Hamdy,Unknown,
2023040,Mabululu,,Home,Karim El Deeb,Unknown,
2023040,Benjamin Bernard Boateng,,Home,Karim El Deeb,Unknown,
2023040,Mahmoud Shabana,1.0,Away,,Unknown,
2023040,Islam Abou-Salima,,Home,Mabululu,Unknown,
2023041,Godwin Chika,,Home,Youssry Wahid,Unknown,
2023043,Saïdou Simporé,,Home,Ibrahim Hassan,Unknown,
2023043,Aymen Sfaxi,,Away,Khaled Reda,Unknown,
2023043,Ali Elfil,,Away,Omar El Said,Unknown,
2023044,Wessam Abou Ali,,Home,Rami Rabia,Pass,
2023044,Karim Fouad,,Home,,Unknown,
2023044,Reda Slim,,Home,Emam Ashour,Pass,
2023044,Wessam Abou Ali,,Home,Emam Ashour,Penalty,1.0
2023044,Anthony Modeste,,Home,Afsha,Pass,
2023044,Hossam Ashraf,,Away,Karim Nedved,Handball ,1.0
2023045,Mabululu,,Away,,Unknown,1.0
2023046,Ahmed Kendouci,,Home,,Unknown,
2023046,Mohamed Shokry,,Home,,Unknown,
2023047,Seifeddine Jaziri,,Home,Ibrahima Ndiaye,Unknown,
2023047,Mostafa Ziko,,Away,,Unknown,
2023047,Dilson,,Away,Rafaat Khalil,Unknown,
2023048,Ahmed Belhadji,,Home,,Unknown,1.0
2023048,Gabriel Chukwudi,,Home,Sabri Rahil,Unknown,
2023049,Hossam Ashraf,,Home,Favour Akem,Penalty,1.0
2023049,Islam Marzouk,,Home,,Unknown,
2023049,Babacar Ndiaye,1.0,Home,,Unknown,
2023049,Shokry Naguib,,Away,,Unknown,1.0
2023049,Ahmed Sherif,,Away,,Unknown,
2023050,Taher Mohamed,,Away,Afsha,Pass,
2023050,Mohamed Hany,,Away,Emam Ashour,Pass,
2023050,Joseph Ochaya,,Home,Aliou Dieng,Handball ,1.0
2023051,Basem Morsy,,Home,Omar El Saaiy,Unknown,
2023051,Godwin Chika,,Away,Youssry Wahid,Unknown,
2023051,Abdelrahman Shika,,Away,,Unknown,
2023051,Emad Hamdi,,Home,Abdelrahman Magdi,Unknown,
2023051,Mohamed Hany,,Away,Hassan Magdy,Unknown,
2023052,Rafik Kabou,,Away,,Unknown,
2023053,Osama Faisal,,Away,,Unknown,
2023053,Osama Faisal,,Away,Karim Bambo,Unknown,
2023053,Karim Bambo,,Away,Osama Faisal,Unknown,
2023053,Osama Faisal,,Away,Karim Bambo,Unknown,
