match_id,Gameweek,Date,Time,Result,Home team,Away team,Day,HomeGoals,AwayGoals,Status,Season
2019055,7,2019-12-10,6:30 PM,1:1,Entag El Harby,Smouha,Tue,1,1,Tie,2019-2020
2019056,7,2019-12-11,4:00 PM,0:0,Harras Hodoud,FC Masr,Wed,0,0,Tie,2019-2020
2019057,7,2019-12-11,,2:0,Ismaily,El Makasa,Wed,2,0,HomeWin,2019-2020
2019058,7,2019-12-11,6:30 PM,0:3,Wadi Degla,Ahly SC,Wed,0,3,AwayWin,2019-2020
2019059,7,2019-12-12,1:30 PM,0:0,Ittihad Alex,Tanta SC,Thu,0,0,Tie,2019-2020
2019060,7,2019-12-12,4:00 PM,0:1,El Masry,El Mokawloon,Thu,0,1,AwayWin,2019-2020
2019061,7,2019-12-12,6:30 PM,2:0,Zamalek,Pyramids FC,Thu,2,0,HomeWin,2019-2020
2019062,7,2019-12-29,1:30 PM,1:1,Aswan SC,Talaea El Gaish,Sun,1,1,Tie,2019-2020
2019063,8,2019-12-15,1:30 PM,0:1,FC Masr,Ismaily,Sun,0,1,AwayWin,2019-2020
2019064,8,2019-12-15,4:00 PM,1:0,Smouha,Aswan SC,Sun,1,0,HomeWin,2019-2020
2019065,8,2019-12-15,6:30 PM,1:0,Ahly SC,Harras Hodoud,Sun,1,0,HomeWin,2019-2020
2019066,8,2019-12-16,1:30 PM,0:1,Tanta SC,Entag El Harby,Mon,0,1,AwayWin,2019-2020
2019067,8,2019-12-16,4:00 PM,0:1,El Mokawloon,Wadi Degla,Mon,0,1,AwayWin,2019-2020
2019068,8,2019-12-16,,2:3,El Makasa,Ittihad Alex,Mon,2,3,AwayWin,2019-2020
2019069,8,2019-12-16,6:30 PM,3:2,Talaea El Gaish,Zamalek,Mon,3,2,HomeWin,2019-2020
2019070,8,2019-12-17,12:00 AM,2:3,Pyramids FC,El Gouna,Tue,2,3,AwayWin,2019-2020
2019071,8,2019-12-17,,1:0,Enppi SC,El Masry,Tue,1,0,HomeWin,2019-2020
2019072,9,2019-12-19,6:30 PM,0:1,Ismaily,Ahly SC,Thu,0,1,AwayWin,2019-2020
2019073,9,2019-12-20,1:30 PM,0:1,Aswan SC,Entag El Harby,Fri,0,1,AwayWin,2019-2020
2019074,9,2019-12-20,,0:1,Harras Hodoud,El Mokawloon,Fri,0,1,AwayWin,2019-2020
2019075,9,2019-12-20,4:00 PM,2:1,Ittihad Alex,FC Masr,Fri,2,1,HomeWin,2019-2020
2019076,9,2019-12-20,,1:1,El Makasa,Tanta SC,Fri,1,1,Tie,2019-2020
2019077,9,2019-12-20,6:30 PM,0:0,Zamalek,Smouha,Fri,0,0,Tie,2019-2020
2019078,9,2019-12-21,1:30 PM,2:0,El Gouna,Talaea El Gaish,Sat,2,0,HomeWin,2019-2020
2019079,9,2019-12-21,4:00 PM,2:3,Wadi Degla,Enppi SC,Sat,2,3,AwayWin,2019-2020
2019080,9,2019-12-21,6:30 PM,1:1,El Masry,Pyramids FC,Sat,1,1,Tie,2019-2020
2019081,10,2019-12-23,4:00 PM,2:0,El Mokawloon,Ismaily,Mon,2,0,HomeWin,2019-2020
