match_id,Gameweek,Date,Time,Result,Home team,Away team,Day,HomeGoals,AwayGoals,Status,Season
2018000,1,2018-07-31,6:00 PM,1:1,Ittihad Alex,El Mokawloon,Tue,1,1,Tie,2018-2019
2018001,1,2018-07-31,9:00 PM,0:0,Petrojet,Zamalek,Tue,0,0,Tie,2018-2019
2018002,1,2018-08-01,4:00 PM,1:1,El Dakhlia,Wadi Degla,Wed,1,1,Tie,2018-2019
2018003,1,2018-08-01,6:15 PM,2:1,Entag El Harby,Harras Hodoud,Wed,2,1,HomeWin,2018-2019
2018004,1,2018-08-01,9:00 PM,0:0,Nogoom FC,Talaea El Gaish,Wed,0,0,Tie,2018-2019
2018005,1,2018-08-02,6:00 PM,0:1,El Gouna,El Masry,Thu,0,1,AwayWin,2018-2019
2018006,1,2018-08-02,9:00 PM,1:1,Ahly SC,Ismaily,Thu,1,1,Tie,2018-2019
2018007,1,2018-08-03,6:00 PM,1:2,El Makasa,Smouha,Fri,1,2,AwayWin,2018-2019
2018008,1,2018-08-03,9:00 PM,0:1,Enppi SC,Pyramids FC,Fri,0,1,AwayWin,2018-2019
2018009,2,2018-08-04,8:00 PM,5:1,Zamalek,Ittihad Alex,Sat,5,1,HomeWin,2018-2019
2018010,2,2018-08-06,4:30 PM,1:2,Harras Hodoud,El Dakhlia,Mon,1,2,AwayWin,2018-2019
2018011,2,2018-08-06,6:45 PM,0:0,Ismaily,Petrojet,Mon,0,0,Tie,2018-2019
2018012,2,2018-08-06,9:00 PM,1:3,Wadi Degla,El Gouna,Mon,1,3,AwayWin,2018-2019
2018013,2,2018-08-07,8:00 PM,0:2,El Masry,Ahly SC,Tue,0,2,AwayWin,2018-2019
2018014,2,2018-08-08,4:30 PM,1:1,Pyramids FC,Entag El Harby,Wed,1,1,Tie,2018-2019
2018015,2,2018-08-08,6:45 PM,1:2,El Mokawloon,El Makasa,Wed,1,2,AwayWin,2018-2019
2018016,2,2018-08-08,,0:0,Smouha,Nogoom FC,Wed,0,0,Tie,2018-2019
2018017,2,2018-08-08,9:00 PM,0:3,Talaea El Gaish,Enppi SC,Wed,0,3,AwayWin,2018-2019
2018018,3,2018-08-14,4:00 PM,0:1,El Dakhlia,Entag El Harby,Tue,0,1,AwayWin,2018-2019
2018019,3,2018-08-14,6:15 PM,1:1,El Gouna,Harras Hodoud,Tue,1,1,Tie,2018-2019
2018020,3,2018-08-14,,2:3,Enppi SC,Smouha,Tue,2,3,AwayWin,2018-2019
2018021,3,2018-08-14,,2:2,Petrojet,El Masry,Tue,2,2,Tie,2018-2019
2018022,3,2018-08-14,9:00 PM,1:2,Talaea El Gaish,Pyramids FC,Tue,1,2,AwayWin,2018-2019
2018023,3,2018-08-15,8:00 PM,0:2,Nogoom FC,El Mokawloon,Wed,0,2,AwayWin,2018-2019
2018024,3,2018-08-16,9:00 PM,0:1,El Makasa,Zamalek,Thu,0,1,AwayWin,2018-2019
2018025,3,2018-08-17,6:00 PM,1:0,Ittihad Alex,Ismaily,Fri,1,0,HomeWin,2018-2019
2018026,3,2018-08-21,8:00 PM,1:0,Ahly SC,Wadi Degla,Tue,1,0,HomeWin,2018-2019
2018027,4,2018-08-10,8:00 PM,0:2,Wadi Degla,Petrojet,Fri,0,2,AwayWin,2018-2019
2018028,4,2018-08-24,4:00 PM,1:2,El Mokawloon,Enppi SC,Fri,1,2,AwayWin,2018-2019
2018029,4,2018-08-24,6:15 PM,1:0,Ismaily,El Makasa,Fri,1,0,HomeWin,2018-2019
2018030,4,2018-08-24,9:00 PM,0:2,Harras Hodoud,Ahly SC,Fri,0,2,AwayWin,2018-2019
2018031,4,2018-08-25,5:30 PM,2:2,El Masry,Ittihad Alex,Sat,2,2,Tie,2018-2019
2018032,4,2018-08-26,4:00 PM,0:0,Smouha,Talaea El Gaish,Sun,0,0,Tie,2018-2019
2018033,4,2018-08-26,6:15 PM,3:1,Pyramids FC,El Dakhlia,Sun,3,1,HomeWin,2018-2019
2018034,4,2018-08-26,9:00 PM,0:0,Entag El Harby,El Gouna,Sun,0,0,Tie,2018-2019
2018035,4,2018-08-27,8:00 PM,0:1,Zamalek,Nogoom FC,Mon,0,1,AwayWin,2018-2019
2018036,5,2018-08-31,6:00 PM,0:0,Petrojet,Harras Hodoud,Fri,0,0,Tie,2018-2019
2018037,5,2018-08-31,,1:1,Nogoom FC,Ismaily,Fri,1,1,Tie,2018-2019
