match_id,Gameweek,Date,Time,Result,Home team,Away team,Day,HomeGoals,AwayGoals,Status,Season
2023000,1,2023-09-18,6:00 PM,2:0,Talaea El Gaish,Bank El Ahly,Mon,2,0,HomeWin,2023-2024
2023001,1,2023-09-19,3:00 PM,1:0,Zed FC,Ismaily,Tue,1,0,HomeWin,2023-2024
2023002,1,2023-09-19,6:00 PM,4:0,Ahly SC,El Masry,Tue,4,0,HomeWin,2023-2024
2023003,1,2023-09-20,3:00 PM,1:0,El Dakhlia,Enppi SC,Wed,1,0,HomeWin,2023-2024
2023004,1,2023-09-20,6:00 PM,0:2,El Mokawloon,Baladiya,Wed,0,2,AwayWin,2023-2024
2023005,1,2023-09-20,,1:1,Smouha,El Gouna,Wed,1,1,Tie,2023-2024
2023006,1,2023-09-21,3:00 PM,0:2,Pharco FC,Modern Future,Thu,0,2,AwayWin,2023-2024
2023007,1,2023-09-21,6:00 PM,1:0,Ittihad Alex,Cleopatra FC,Thu,1,0,HomeWin,2023-2024
2023008,1,2023-09-21,,2:2,Pyramids FC,Zamalek,Thu,2,2,Tie,2023-2024
2023009,2,2023-09-25,5:00 PM,0:1,Bank El Ahly,Pyramids FC,Mon,0,1,AwayWin,2023-2024
2023010,2,2023-09-25,,1:1,Zamalek,El Mokawloon,Mon,1,1,Tie,2023-2024
2023011,2,2023-09-26,3:00 PM,0:2,Baladiya,Smouha,Tue,0,2,AwayWin,2023-2024
2023012,2,2023-09-26,6:00 PM,2:1,Modern Future,El Dakhlia,Tue,2,1,HomeWin,2023-2024
2023013,2,2023-09-27,3:00 PM,0:0,Enppi SC,Talaea El Gaish,Wed,0,0,Tie,2023-2024
2023014,2,2023-09-27,6:00 PM,1:2,Cleopatra FC,Ahly SC,Wed,1,2,AwayWin,2023-2024
2023015,2,2023-09-27,,0:1,El Gouna,Zed FC,Wed,0,1,AwayWin,2023-2024
2023016,2,2023-09-28,3:00 PM,1:0,El Masry,Pharco FC,Thu,1,0,HomeWin,2023-2024
2023017,2,2023-09-28,6:00 PM,3:1,Ismaily,Ittihad Alex,Thu,3,1,HomeWin,2023-2024
2023018,3,2023-10-05,3:00 PM,3:3,Zed FC,Baladiya,Thu,3,3,Tie,2023-2024
2023019,3,2023-10-05,6:00 PM,2:1,Smouha,El Mokawloon,Thu,2,1,HomeWin,2023-2024
2023020,3,2023-10-06,3:00 PM,2:2,Ittihad Alex,El Gouna,Fri,2,2,Tie,2023-2024
2023021,3,2023-10-06,6:00 PM,2:2,Pharco FC,Cleopatra FC,Fri,2,2,Tie,2023-2024
2023022,3,2023-10-07,3:00 PM,1:3,El Dakhlia,El Masry,Sat,1,3,AwayWin,2023-2024
2023023,3,2023-10-07,6:00 PM,1:2,Bank El Ahly,Zamalek,Sat,1,2,AwayWin,2023-2024
2023024,3,2023-10-07,,0:2,Talaea El Gaish,Modern Future,Sat,0,2,AwayWin,2023-2024
2023025,3,2023-10-08,6:00 PM,3:1,Ahly SC,Ismaily,Sun,3,1,HomeWin,2023-2024
2023026,3,2023-10-08,,1:0,Pyramids FC,Enppi SC,Sun,1,0,HomeWin,2023-2024
2023027,4,2023-10-20,3:00 PM,1:0,El Masry,Talaea El Gaish,Fri,1,0,HomeWin,2023-2024
2023028,4,2023-10-20,,4:0,Cleopatra FC,El Dakhlia,Fri,4,0,HomeWin,2023-2024
2023029,4,2023-10-21,3:00 PM,2:2,Baladiya,Ittihad Alex,Sat,2,2,Tie,2023-2024
2023030,4,2023-10-21,6:00 PM,5:1,Zamalek,Smouha,Sat,5,1,HomeWin,2023-2024
2023031,4,2023-10-21,,3:1,Enppi SC,Bank El Ahly,Sat,3,1,HomeWin,2023-2024
2023032,4,2023-10-22,3:00 PM,3:3,El Mokawloon,Zed FC,Sun,3,3,Tie,2023-2024
2023033,4,2023-10-22,6:00 PM,0:1,Ismaily,Pharco FC,Sun,0,1,AwayWin,2023-2024
2023034,4,2023-10-22,,0:1,Modern Future,Pyramids FC,Sun,0,1,AwayWin,2023-2024
2023035,4,2023-11-11,4:00 PM,1:1,El Gouna,Ahly SC,Sat,1,1,Tie,2023-2024
2023036,5,2023-10-27,4:00 PM,3:2,Pyramids FC,El Masry,Fri,3,2,HomeWin,2023-2024
2023037,5,2023-10-27,7:00 PM,2:1,Enppi SC,Zamalek,Fri,2,1,HomeWin,2023-2024
