match_id,Gameweek,Date,Time,Result,Home team,Away team,Day,HomeGoals,AwayGoals,Status,Season
2015000,1,2015-10-20,5:00 PM,2:0,El Dakhlia,El Mokawloon,Tue,2,0,HomeWin,2015-2016
2015001,1,2015-10-20,7:45 PM,2:2,Enppi SC,Harras Hodoud,Tue,2,2,Tie,2015-2016
2015002,1,2015-10-21,2:45 PM,1:0,Ittihad Alex,Aswan SC,Wed,1,0,HomeWin,2015-2016
2015003,1,2015-10-21,5:00 PM,2:0,Ismaily,Entag El Harby,Wed,2,0,HomeWin,2015-2016
2015004,1,2015-10-21,7:45 PM,2:0,Zamalek,Wadi Degla,Wed,2,0,HomeWin,2015-2016
2015005,1,2015-10-22,2:45 PM,0:1,El Mahalla,Smouha,Thu,0,1,AwayWin,2015-2016
2015006,1,2015-10-22,5:00 PM,1:1,El Makasa,El Shorta,Thu,1,1,Tie,2015-2016
2015007,1,2015-10-22,,1:3,Petrojet,El Masry,Thu,1,3,AwayWin,2015-2016
2015008,1,2015-10-22,7:45 PM,0:1,Talaea El Gaish,Ahly SC,Thu,0,1,AwayWin,2015-2016
2015009,2,2015-10-24,2:45 PM,0:1,Harras Hodoud,El Dakhlia,Sat,0,1,AwayWin,2015-2016
2015010,2,2015-10-24,5:00 PM,0:1,Entag El Harby,Ittihad Alex,Sat,0,1,AwayWin,2015-2016
2015011,2,2015-10-24,7:45 PM,0:0,El Mokawloon,Ismaily,Sat,0,0,Tie,2015-2016
2015012,2,2015-10-25,1:45 PM,0:3,Smouha,Petrojet,Sun,0,3,AwayWin,2015-2016
2015013,2,2015-10-25,4:00 PM,0:0,Aswan SC,Zamalek,Sun,0,0,Tie,2015-2016
2015014,2,2015-10-25,,1:1,El Masry,El Makasa,Sun,1,1,Tie,2015-2016
2015015,2,2015-10-25,6:45 PM,2:0,Ahly SC,El Mahalla,Sun,2,0,HomeWin,2015-2016
2015016,2,2015-10-26,4:00 PM,0:0,El Shorta,Enppi SC,Mon,0,0,Tie,2015-2016
2015017,2,2015-10-26,6:45 PM,3:3,Wadi Degla,Talaea El Gaish,Mon,3,3,Tie,2015-2016
2015018,3,2015-10-31,1:45 PM,0:2,El Mahalla,Wadi Degla,Sat,0,2,AwayWin,2015-2016
2015019,3,2015-10-31,,2:1,Enppi SC,El Masry,Sat,2,1,HomeWin,2015-2016
2015020,3,2015-10-31,4:00 PM,2:0,El Makasa,Smouha,Sat,2,0,HomeWin,2015-2016
2015021,3,2015-10-31,,1:1,Ittihad Alex,El Mokawloon,Sat,1,1,Tie,2015-2016
2015022,3,2015-10-31,6:45 PM,2:1,Zamalek,Entag El Harby,Sat,2,1,HomeWin,2015-2016
2015023,3,2015-11-01,1:45 PM,1:1,Talaea El Gaish,Aswan SC,Sun,1,1,Tie,2015-2016
2015024,3,2015-11-01,,1:1,El Shorta,Harras Hodoud,Sun,1,1,Tie,2015-2016
2015025,3,2015-11-01,4:00 PM,0:1,Petrojet,Ahly SC,Sun,0,1,AwayWin,2015-2016
