match_id,Gameweek,Date,Time,Result,Home team,Away team,Day,HomeGoals,AwayGoals,Status,Season
2016000,1,2016-09-15,5:00 PM,2:0,Aswan SC,El Dakhlia,Thu,2,0,HomeWin,2016-2017
2016001,1,2016-09-15,9:00 PM,0:4,El Nasr Tadeen,Enppi SC,Thu,0,4,AwayWin,2016-2017
2016002,1,2016-09-16,3:00 PM,1:2,El Sharkia,Smouha,Fri,1,2,AwayWin,2016-2017
2016003,1,2016-09-16,5:00 PM,1:0,Petrojet,Wadi Degla,Fri,1,0,HomeWin,2016-2017
2016004,1,2016-09-17,3:00 PM,3:1,Ittihad Alex,El Mokawloon,Sat,3,1,HomeWin,2016-2017
2016005,1,2016-09-17,5:00 PM,3:0,El Makasa,Tanta SC,Sat,3,0,HomeWin,2016-2017
2016006,1,2016-09-17,6:00 PM,2:1,Talaea El Gaish,El Masry,Sat,2,1,HomeWin,2016-2017
2016007,1,2016-09-17,9:00 PM,1:0,Ahly SC,Ismaily,Sat,1,0,HomeWin,2016-2017
2016008,1,2016-12-21,6:00 PM,0:1,Entag El Harby,Zamalek,Wed,0,1,AwayWin,2016-2017
2016009,2,2016-09-22,3:00 PM,1:0,Tanta SC,Aswan SC,Thu,1,0,HomeWin,2016-2017
2016010,2,2016-09-22,5:00 PM,1:0,Ismaily,Entag El Harby,Thu,1,0,HomeWin,2016-2017
2016011,2,2016-09-22,8:00 PM,0:2,El Mokawloon,Ahly SC,Thu,0,2,AwayWin,2016-2017
2016012,2,2016-09-23,5:00 PM,1:1,El Dakhlia,Petrojet,Fri,1,1,Tie,2016-2017
2016013,2,2016-09-23,8:00 PM,2:2,Enppi SC,El Sharkia,Fri,2,2,Tie,2016-2017
2016014,2,2016-09-24,3:00 PM,2:0,El Masry,El Nasr Tadeen,Sat,2,0,HomeWin,2016-2017
2016015,2,2016-09-24,5:00 PM,1:0,Wadi Degla,Ittihad Alex,Sat,1,0,HomeWin,2016-2017
2016016,2,2016-09-24,8:00 PM,2:0,Smouha,El Makasa,Sat,2,0,HomeWin,2016-2017
2016017,2,2017-04-19,8:00 PM,3:0,Zamalek,Talaea El Gaish,Wed,3,0,HomeWin,2016-2017
2016018,3,2016-09-28,3:00 PM,3:2,Smouha,Tanta SC,Wed,3,2,HomeWin,2016-2017
2016019,3,2016-09-28,6:00 PM,0:1,El Sharkia,El Masry,Wed,0,1,AwayWin,2016-2017
2016020,3,2016-09-28,9:00 PM,2:1,Ahly SC,Wadi Degla,Wed,2,1,HomeWin,2016-2017
2016021,3,2016-09-29,3:00 PM,2:0,Petrojet,Aswan SC,Thu,2,0,HomeWin,2016-2017
2016022,3,2016-09-29,5:00 PM,1:1,Talaea El Gaish,Ismaily,Thu,1,1,Tie,2016-2017
2016023,3,2016-09-29,8:00 PM,0:2,El Nasr Tadeen,Zamalek,Thu,0,2,AwayWin,2016-2017
2016024,3,2016-09-30,4:00 PM,3:0,El Makasa,Enppi SC,Fri,3,0,HomeWin,2016-2017
2016025,3,2016-09-30,6:30 PM,3:0,Ittihad Alex,El Dakhlia,Fri,3,0,HomeWin,2016-2017
2016026,3,2016-09-30,9:00 PM,0:2,Entag El Harby,El Mokawloon,Fri,0,2,AwayWin,2016-2017
2016027,4,2016-10-12,2:45 PM,0:0,Tanta SC,Petrojet,Wed,0,0,Tie,2016-2017
2016028,4,2016-10-12,5:00 PM,0:1,Aswan SC,Ittihad Alex,Wed,0,1,AwayWin,2016-2017
2016029,4,2016-10-12,7:30 PM,0:1,El Masry,El Makasa,Wed,0,1,AwayWin,2016-2017
2016030,4,2016-10-13,2:45 PM,0:1,El Mokawloon,Talaea El Gaish,Thu,0,1,AwayWin,2016-2017
