match_id,Gameweek,Date,Time,Result,Home team,Away team,Day,HomeGoals,AwayGoals,Status,Season
2020000,1,2020-12-11,1:30 PM,0:1,Enppi SC,Aswan SC,Fri,0,1,AwayWin,2020-2021
2020001,1,2020-12-11,4:00 PM,1:1,Talaea El Gaish,El Gouna,Fri,1,1,Tie,2020-2021
2020002,1,2020-12-11,6:30 PM,0:2,Entag El Harby,Cleopatra FC,Fri,0,2,AwayWin,2020-2021
2020003,1,2020-12-12,1:30 PM,1:1,Bank El Ahly,Wadi Degla,Sat,1,1,Tie,2020-2021
2020004,1,2020-12-12,4:00 PM,1:2,Pyramids FC,Ittihad Alex,Sat,1,2,AwayWin,2020-2021
2020005,1,2020-12-12,6:30 PM,0:2,El Mokawloon,Zamalek,Sat,0,2,AwayWin,2020-2021
2020006,1,2020-12-13,4:00 PM,0:0,El Masry,Ismaily,Sun,0,0,Tie,2020-2021
2020007,1,2020-12-13,6:30 PM,3:1,Ahly SC,El Makasa,Sun,3,1,HomeWin,2020-2021
2020008,1,2020-12-14,6:30 PM,1:1,Smouha,El Mahalla,Mon,1,1,Tie,2020-2021
2020009,2,2020-12-16,1:30 PM,2:1,Aswan SC,Talaea El Gaish,Wed,2,1,HomeWin,2020-2021
2020010,2,2020-12-16,4:00 PM,3:1,Cleopatra FC,Bank El Ahly,Wed,3,1,HomeWin,2020-2021
2020011,2,2020-12-16,6:30 PM,2:1,Wadi Degla,El Mokawloon,Wed,2,1,HomeWin,2020-2021
2020012,2,2020-12-17,1:30 PM,1:1,El Gouna,El Masry,Thu,1,1,Tie,2020-2021
2020013,2,2020-12-17,4:00 PM,3:3,Ismaily,Entag El Harby,Thu,3,3,Tie,2020-2021
2020014,2,2020-12-17,6:30 PM,1:1,Zamalek,Pyramids FC,Thu,1,1,Tie,2020-2021
2020015,2,2020-12-18,1:30 PM,0:1,El Makasa,Enppi SC,Fri,0,1,AwayWin,2020-2021
2020016,2,2020-12-18,4:00 PM,1:1,Ittihad Alex,Smouha,Fri,1,1,Tie,2020-2021
2020017,2,2020-12-18,6:30 PM,3:0,Ahly SC,El Mahalla,Fri,3,0,HomeWin,2020-2021
2020018,3,2020-12-21,1:30 PM,3:0,Bank El Ahly,Entag El Harby,Mon,3,0,HomeWin,2020-2021
2020019,3,2020-12-21,4:00 PM,2:1,El Gouna,Ismaily,Mon,2,1,HomeWin,2020-2021
2020020,3,2020-12-21,6:30 PM,3:0,El Masry,Aswan SC,Mon,3,0,HomeWin,2020-2021
2020021,3,2020-12-22,4:00 PM,1:1,Enppi SC,El Mahalla,Tue,1,1,Tie,2020-2021
2020022,3,2020-12-22,6:30 PM,1:2,Talaea El Gaish,El Makasa,Tue,1,2,AwayWin,2020-2021
2020023,3,2020-12-28,4:00 PM,0:2,Smouha,Zamalek,Mon,0,2,AwayWin,2020-2021
2020024,3,2020-12-28,6:30 PM,4:0,Ahly SC,Ittihad Alex,Mon,4,0,HomeWin,2020-2021
2020025,3,2021-01-11,4:00 PM,1:1,Pyramids FC,Wadi Degla,Mon,1,1,Tie,2020-2021
2020026,3,2021-01-12,4:00 PM,1:1,El Mokawloon,Cleopatra FC,Tue,1,1,Tie,2020-2021
2020027,4,2020-12-24,6:30 PM,1:2,Wadi Degla,Smouha,Thu,1,2,AwayWin,2020-2021
2020028,4,2020-12-25,1:30 PM,0:1,Aswan SC,El Gouna,Fri,0,1,AwayWin,2020-2021
2020029,4,2020-12-25,4:00 PM,2:1,El Mahalla,Talaea El Gaish,Fri,2,1,HomeWin,2020-2021
2020030,4,2020-12-25,6:30 PM,0:0,Ismaily,Bank El Ahly,Fri,0,0,Tie,2020-2021
2020031,4,2020-12-26,4:00 PM,1:0,Entag El Harby,El Mokawloon,Sat,1,0,HomeWin,2020-2021
2020032,4,2020-12-26,6:30 PM,1:1,El Makasa,El Masry,Sat,1,1,Tie,2020-2021
2020033,4,2020-12-27,6:30 PM,0:1,Cleopatra FC,Pyramids FC,Sun,0,1,AwayWin,2020-2021
2020034,4,2021-03-01,4:00 PM,0:1,Ittihad Alex,Enppi SC,Mon,0,1,AwayWin,2020-2021
2020035,4,2021-04-18,9:30 PM,1:2,Zamalek,Ahly SC,Sun,1,2,AwayWin,2020-2021
2020036,5,2020-12-29,1:30 PM,0:2,Aswan SC,Ismaily,Tue,0,2,AwayWin,2020-2021
2020037,5,2020-12-30,1:30 PM,1:0,El Gouna,El Makasa,Wed,1,0,HomeWin,2020-2021
2020038,5,2020-12-30,4:00 PM,2:0,El Mokawloon,Bank El Ahly,Wed,2,0,HomeWin,2020-2021
2020039,5,2020-12-30,6:30 PM,1:0,El Masry,El Mahalla,Wed,1,0,HomeWin,2020-2021
2020040,5,2021-01-01,4:00 PM,3:2,Pyramids FC,Entag El Harby,Fri,3,2,HomeWin,2020-2021
2020041,5,2021-01-01,6:30 PM,0:0,Ahly SC,Wadi Degla,Fri,0,0,Tie,2020-2021
2020042,5,2021-01-02,1:30 PM,0:0,Smouha,Cleopatra FC,Sat,0,0,Tie,2020-2021
2020043,5,2021-01-02,4:00 PM,1:2,Talaea El Gaish,Ittihad Alex,Sat,1,2,AwayWin,2020-2021
2020044,5,2021-01-02,6:30 PM,1:2,Enppi SC,Zamalek,Sat,1,2,AwayWin,2020-2021
2020045,6,2021-01-07,4:00 PM,1:1,Ittihad Alex,El Masry,Thu,1,1,Tie,2020-2021
2020046,6,2021-01-08,1:30 PM,0:0,Bank El Ahly,Pyramids FC,Fri,0,0,Tie,2020-2021
2020047,6,2021-01-08,4:00 PM,1:2,Wadi Degla,Enppi SC,Fri,1,2,AwayWin,2020-2021
2020048,6,2021-01-08,6:30 PM,0:2,Cleopatra FC,Ahly SC,Fri,0,2,AwayWin,2020-2021
2020049,6,2021-01-09,1:30 PM,1:0,El Makasa,Aswan SC,Sat,1,0,HomeWin,2020-2021
2020050,6,2021-01-09,4:00 PM,0:0,El Mahalla,El Gouna,Sat,0,0,Tie,2020-2021
2020051,6,2021-01-09,6:30 PM,3:0,Zamalek,Talaea El Gaish,Sat,3,0,HomeWin,2020-2021
2020052,6,2021-01-17,1:30 PM,1:1,Entag El Harby,Smouha,Sun,1,1,Tie,2020-2021
2020053,6,2021-01-18,4:00 PM,0:1,Ismaily,El Mokawloon,Mon,0,1,AwayWin,2020-2021
2020054,7,2021-01-03,6:30 PM,3:1,El Makasa,Ismaily,Sun,3,1,HomeWin,2020-2021
2020055,7,2021-01-12,1:30 PM,2:2,Smouha,Bank El Ahly,Tue,2,2,Tie,2020-2021
2020056,7,2021-01-12,4:00 PM,0:1,El Masry,Zamalek,Tue,0,1,AwayWin,2020-2021
2020057,7,2021-01-12,6:30 PM,4:1,Ahly SC,Entag El Harby,Tue,4,1,HomeWin,2020-2021
2020058,7,2021-01-14,1:30 PM,1:1,Aswan SC,El Mahalla,Thu,1,1,Tie,2020-2021
2020059,7,2021-01-14,4:00 PM,2:0,El Gouna,Ittihad Alex,Thu,2,0,HomeWin,2020-2021
2020060,7,2021-01-15,1:30 PM,1:0,Talaea El Gaish,Wadi Degla,Fri,1,0,HomeWin,2020-2021
2020061,7,2021-01-15,,2:1,Enppi SC,Cleopatra FC,Fri,2,1,HomeWin,2020-2021
2020062,7,2021-01-15,,3:1,Pyramids FC,El Mokawloon,Fri,3,1,HomeWin,2020-2021
2020063,8,2021-01-17,4:00 PM,0:0,Bank El Ahly,Ahly SC,Sun,0,0,Tie,2020-2021
2020064,8,2021-01-18,1:30 PM,1:2,El Mahalla,El Makasa,Mon,1,2,AwayWin,2020-2021
2020065,8,2021-01-18,,2:1,Cleopatra FC,Talaea El Gaish,Mon,2,1,HomeWin,2020-2021
2020066,8,2021-01-19,4:00 PM,1:0,Zamalek,El Gouna,Tue,1,0,HomeWin,2020-2021
2020067,8,2021-01-20,1:30 PM,1:3,Wadi Degla,El Masry,Wed,1,3,AwayWin,2020-2021
2020068,8,2021-01-26,4:00 PM,1:2,El Mokawloon,Smouha,Tue,1,2,AwayWin,2020-2021
2020069,8,2021-01-30,6:30 PM,1:1,Ismaily,Pyramids FC,Sat,1,1,Tie,2020-2021
2020070,8,2021-02-21,6:30 PM,1:3,Ittihad Alex,Aswan SC,Sun,1,3,AwayWin,2020-2021
2020071,8,2021-02-25,1:30 PM,0:0,Entag El Harby,Enppi SC,Thu,0,0,Tie,2020-2021
2020072,9,2021-01-21,4:00 PM,3:2,Ahly SC,El Mokawloon,Thu,3,2,HomeWin,2020-2021
2020073,9,2021-01-22,1:30 PM,1:1,Smouha,Pyramids FC,Fri,1,1,Tie,2020-2021
2020074,9,2021-01-22,,3:0,Talaea El Gaish,Entag El Harby,Fri,3,0,HomeWin,2020-2021
2020075,9,2021-01-23,1:30 PM,2:2,El Mahalla,Ismaily,Sat,2,2,Tie,2020-2021
2020076,9,2021-01-23,4:00 PM,0:0,Aswan SC,Zamalek,Sat,0,0,Tie,2020-2021
2020077,9,2021-01-24,1:30 PM,3:2,Enppi SC,Bank El Ahly,Sun,3,2,HomeWin,2020-2021
2020078,9,2021-01-24,,2:0,El Gouna,Wadi Degla,Sun,2,0,HomeWin,2020-2021
2020079,9,2021-02-03,4:00 PM,0:4,El Makasa,Ittihad Alex,Wed,0,4,AwayWin,2020-2021
2020080,9,2021-02-26,4:00 PM,2:2,El Masry,Cleopatra FC,Fri,2,2,Tie,2020-2021
2020081,10,2021-01-26,6:30 PM,0:0,Pyramids FC,Ahly SC,Tue,0,0,Tie,2020-2021
2020082,10,2021-01-28,1:30 PM,0:2,Bank El Ahly,Talaea El Gaish,Thu,0,2,AwayWin,2020-2021
2020083,10,2021-01-28,6:30 PM,4:1,Zamalek,El Makasa,Thu,4,1,HomeWin,2020-2021
2020084,10,2021-01-29,1:30 PM,2:1,Cleopatra FC,El Gouna,Fri,2,1,HomeWin,2020-2021
2020085,10,2021-01-29,,0:0,Wadi Degla,Aswan SC,Fri,0,0,Tie,2020-2021
2020086,10,2021-01-29,4:00 PM,0:3,Entag El Harby,El Masry,Fri,0,3,AwayWin,2020-2021
2020087,10,2021-01-30,4:00 PM,2:1,El Mokawloon,Enppi SC,Sat,2,1,HomeWin,2020-2021
2020088,10,2021-02-03,6:30 PM,0:2,Ismaily,Smouha,Wed,0,2,AwayWin,2020-2021
2020089,10,2021-03-09,6:00 PM,0:0,Ittihad Alex,El Mahalla,Tue,0,0,Tie,2020-2021
2020090,11,2021-02-02,1:30 PM,1:1,Aswan SC,Cleopatra FC,Tue,1,1,Tie,2020-2021
2020091,11,2021-02-02,,2:3,El Gouna,Entag El Harby,Tue,2,3,AwayWin,2020-2021
2020092,11,2021-02-02,4:00 PM,2:1,El Mahalla,Zamalek,Tue,2,1,HomeWin,2020-2021
2020093,11,2021-02-02,6:30 PM,0:0,El Masry,Bank El Ahly,Tue,0,0,Tie,2020-2021
2020094,11,2021-02-03,4:00 PM,3:2,Enppi SC,Pyramids FC,Wed,3,2,HomeWin,2020-2021
2020095,11,2021-02-03,,1:1,Talaea El Gaish,El Mokawloon,Wed,1,1,Tie,2020-2021
2020096,11,2021-02-11,6:30 PM,1:0,Ittihad Alex,Ismaily,Thu,1,0,HomeWin,2020-2021
