match_id,Gameweek,Date,Time,Result,Home team,Away team,Day,HomeGoals,AwayGoals,Status,Season
2021000,1,2021-10-25,3:00 PM,3:0,Bank El Ahly,Talaea El Gaish,Mon,3,0,HomeWin,2021-2022
2021001,1,2021-10-25,5:30 PM,4:4,Smouha,Ittihad Alex,Mon,4,4,Tie,2021-2022
2021002,1,2021-10-25,8:00 PM,1:0,Future FC,Pharco FC,Mon,1,0,HomeWin,2021-2022
2021003,1,2021-10-26,3:00 PM,1:0,El Mokawloon,Eastern Company,Tue,1,0,HomeWin,2021-2022
2021004,1,2021-10-26,5:30 PM,1:1,El Gouna,Cleopatra FC,Tue,1,1,Tie,2021-2022
2021005,1,2021-10-26,8:00 PM,2:0,Zamalek,Enppi SC,Tue,2,0,HomeWin,2021-2022
2021006,1,2021-10-27,5:30 PM,2:1,Pyramids FC,El Makasa,Wed,2,1,HomeWin,2021-2022
2021007,1,2021-10-27,8:00 PM,0:4,Ismaily,Ahly SC,Wed,0,4,AwayWin,2021-2022
2021008,1,2021-10-28,5:30 PM,1:1,El Mahalla,El Masry,Thu,1,1,Tie,2021-2022
2021009,2,2021-10-30,5:30 PM,3:2,Ittihad Alex,Future FC,Sat,3,2,HomeWin,2021-2022
2021010,2,2021-10-30,8:00 PM,3:2,Enppi SC,El Mokawloon,Sat,3,2,HomeWin,2021-2022
2021011,2,2021-10-31,2:00 PM,2:1,Cleopatra FC,Ismaily,Sun,2,1,HomeWin,2021-2022
2021012,2,2021-10-31,,2:0,El Makasa,El Gouna,Sun,2,0,HomeWin,2021-2022
2021013,2,2021-10-31,4:30 PM,0:2,Talaea El Gaish,Zamalek,Sun,0,2,AwayWin,2021-2022
2021014,2,2021-10-31,,1:2,Pharco FC,Pyramids FC,Sun,1,2,AwayWin,2021-2022
2021015,2,2021-10-31,7:00 PM,1:0,Ahly SC,Bank El Ahly,Sun,1,0,HomeWin,2021-2022
2021016,2,2021-11-01,4:30 PM,0:0,El Masry,Smouha,Mon,0,0,Tie,2021-2022
2021017,2,2021-11-01,7:00 PM,2:3,Eastern Company,El Mahalla,Mon,2,3,AwayWin,2021-2022
2021018,3,2021-11-04,2:00 PM,1:0,Bank El Ahly,Ismaily,Thu,1,0,HomeWin,2021-2022
2021019,3,2021-11-04,,0:0,El Makasa,Cleopatra FC,Thu,0,0,Tie,2021-2022
2021020,3,2021-11-04,4:30 PM,1:0,El Gouna,Pharco FC,Thu,1,0,HomeWin,2021-2022
2021021,3,2021-11-04,,1:1,El Mokawloon,Talaea El Gaish,Thu,1,1,Tie,2021-2022
2021022,3,2021-11-04,7:00 PM,3:0,Pyramids FC,Ittihad Alex,Thu,3,0,HomeWin,2021-2022
2021023,3,2021-11-05,2:00 PM,3:0,Smouha,Eastern Company,Fri,3,0,HomeWin,2021-2022
2021024,3,2021-11-05,4:30 PM,3:0,El Mahalla,Enppi SC,Fri,3,0,HomeWin,2021-2022
2021025,3,2021-11-05,,1:1,Future FC,El Masry,Fri,1,1,Tie,2021-2022
