match_id,Gameweek,Date,Time,Result,Home team,Away team,Day,HomeGoals,AwayGoals,Status,Season
2022000,1,2022-10-18,3:00 PM,0:1,Aswan SC,Ittihad Alex,Tue,0,1,AwayWin,2022-2023
2022001,1,2022-10-18,5:00 PM,1:1,Bank El Ahly,Pharco FC,Tue,1,1,Tie,2022-2023
2022002,1,2022-10-18,7:00 PM,0:3,El Masry,Cleopatra FC,Tue,0,3,AwayWin,2022-2023
2022003,1,2022-10-19,5:00 PM,1:1,Enppi SC,Pyramids FC,Wed,1,1,Tie,2022-2023
2022004,1,2022-10-19,,0:1,Ismaily,Ahly SC,Wed,0,1,AwayWin,2022-2023
2022005,1,2022-10-19,7:00 PM,2:0,Zamalek,Smouha,Wed,2,0,HomeWin,2022-2023
2022006,1,2022-10-20,3:00 PM,1:1,El Mokawloon,El Mahalla,Thu,1,1,Tie,2022-2023
2022007,1,2022-10-20,5:00 PM,0:2,Harras Hodoud,Modern Future,Thu,0,2,AwayWin,2022-2023
2022008,1,2022-10-20,7:00 PM,0:0,El Dakhlia,Talaea El Gaish,Thu,0,0,Tie,2022-2023
2022009,2,2022-10-23,4:00 PM,0:0,Pyramids FC,El Masry,Sun,0,0,Tie,2022-2023
2022010,2,2022-10-23,6:00 PM,0:2,Cleopatra FC,Zamalek,Sun,0,2,AwayWin,2022-2023
2022011,2,2022-10-23,8:00 PM,1:0,Ahly SC,Aswan SC,Sun,1,0,HomeWin,2022-2023
2022012,2,2022-10-24,4:00 PM,2:1,El Mahalla,Ismaily,Mon,2,1,HomeWin,2022-2023
2022013,2,2022-10-24,6:00 PM,2:0,Ittihad Alex,El Dakhlia,Mon,2,0,HomeWin,2022-2023
2022014,2,2022-10-24,8:00 PM,0:0,Modern Future,El Mokawloon,Mon,0,0,Tie,2022-2023
2022015,2,2022-10-25,6:00 PM,1:1,Smouha,Bank El Ahly,Tue,1,1,Tie,2022-2023
2022016,2,2022-10-25,7:00 PM,2:1,Talaea El Gaish,Enppi SC,Tue,2,1,HomeWin,2022-2023
2022017,2,2022-10-26,5:00 PM,1:0,Pharco FC,Harras Hodoud,Wed,1,0,HomeWin,2022-2023
2022018,3,2022-10-29,3:00 PM,0:1,Aswan SC,El Mahalla,Sat,0,1,AwayWin,2022-2023
2022019,3,2022-10-29,5:00 PM,2:0,El Masry,Enppi SC,Sat,2,0,HomeWin,2022-2023
2022020,3,2022-10-31,4:00 PM,3:1,Ittihad Alex,Talaea El Gaish,Mon,3,1,HomeWin,2022-2023
2022021,3,2022-10-31,6:00 PM,0:0,El Mokawloon,Pharco FC,Mon,0,0,Tie,2022-2023
2022022,3,2022-11-01,4:00 PM,0:0,Harras Hodoud,Smouha,Tue,0,0,Tie,2022-2023
