match_id,Gameweek,Date,Time,Result,Home team,Away team,Day,HomeGoals,AwayGoals,Status,Season
2017000,1,2017-09-08,5:00 PM,1:1,El Dakhlia,Petrojet,Fri,1,1,Tie,2017-2018
2017001,1,2017-09-08,7:30 PM,3:0,El Mokawloon,El Raja,Fri,3,0,HomeWin,2017-2018
2017002,1,2017-09-09,3:00 PM,0:0,Tanta SC,El Nasr,Sat,0,0,Tie,2017-2018
2017003,1,2017-09-09,5:30 PM,2:4,Ittihad Alex,Ismaily,Sat,2,4,AwayWin,2017-2018
2017004,1,2017-09-09,8:15 PM,1:1,Entag El Harby,Zamalek,Sat,1,1,Tie,2017-2018
2017005,1,2017-09-10,3:00 PM,1:1,Alassiouty SC,El Makasa,Sun,1,1,Tie,2017-2018
2017006,1,2017-09-10,5:30 PM,1:0,El Masry,Wadi Degla,Sun,1,0,HomeWin,2017-2018
2017007,1,2017-09-10,8:15 PM,1:1,Ahly SC,Talaea El Gaish,Sun,1,1,Tie,2017-2018
2017008,1,2017-09-11,7:00 PM,1:1,Enppi SC,Smouha,Mon,1,1,Tie,2017-2018
2017009,2,2017-09-14,5:00 PM,0:1,Petrojet,El Masry,Thu,0,1,AwayWin,2017-2018
2017010,2,2017-09-14,7:30 PM,2:2,Talaea El Gaish,Entag El Harby,Thu,2,2,Tie,2017-2018
2017011,2,2017-09-15,7:00 PM,0:2,El Raja,Alassiouty SC,Fri,0,2,AwayWin,2017-2018
2017012,2,2017-09-16,3:00 PM,2:3,El Nasr,Ittihad Alex,Sat,2,3,AwayWin,2017-2018
2017013,2,2017-09-16,5:00 PM,2:1,Wadi Degla,Enppi SC,Sat,2,1,HomeWin,2017-2018
2017014,2,2017-09-17,3:00 PM,2:0,Smouha,Tanta SC,Sun,2,0,HomeWin,2017-2018
2017015,2,2017-09-17,5:30 PM,1:1,Ismaily,El Mokawloon,Sun,1,1,Tie,2017-2018
2017016,2,2017-09-17,8:15 PM,3:0,Zamalek,El Dakhlia,Sun,3,0,HomeWin,2017-2018
2017017,2,2017-12-10,6:00 PM,3:2,El Makasa,Ahly SC,Sun,3,2,HomeWin,2017-2018
2017018,3,2017-09-21,3:00 PM,0:2,Enppi SC,Petrojet,Thu,0,2,AwayWin,2017-2018
2017019,3,2017-09-21,5:30 PM,1:1,Smouha,El Nasr,Thu,1,1,Tie,2017-2018
2017020,3,2017-09-21,8:00 PM,1:0,Entag El Harby,El Makasa,Thu,1,0,HomeWin,2017-2018
2017021,3,2017-09-22,3:00 PM,3:1,Tanta SC,Wadi Degla,Fri,3,1,HomeWin,2017-2018
2017022,3,2017-09-22,5:30 PM,3:2,El Mokawloon,Ittihad Alex,Fri,3,2,HomeWin,2017-2018
2017023,3,2017-09-22,8:15 PM,1:2,El Masry,Zamalek,Fri,1,2,AwayWin,2017-2018
2017024,3,2017-09-23,3:00 PM,0:2,Alassiouty SC,Ismaily,Sat,0,2,AwayWin,2017-2018
2017025,3,2017-09-23,5:00 PM,1:2,El Dakhlia,Talaea El Gaish,Sat,1,2,AwayWin,2017-2018
2017026,3,2017-10-16,7:00 PM,4:1,Ahly SC,El Raja,Mon,4,1,HomeWin,2017-2018
2017027,4,2017-09-27,5:00 PM,0:2,El Raja,Entag El Harby,Wed,0,2,AwayWin,2017-2018
2017028,4,2017-09-28,3:00 PM,1:2,El Nasr,El Mokawloon,Thu,1,2,AwayWin,2017-2018
